 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De to trænere var henholdsvis langt nede og højt oppe, da de på det velbesøgte pressemøde skulle forsøge at sætte ord på den kontantspillede kamp, hvor kampens dommer, Kyros Vassaras, gav et rødt kort til Real Madrids Pepe og ellers hældte stakkevis af gule kort ned over begge hold.
1-1	De	den	PM:p-u#:--:----	
1-2	to	to	LC:--u-:--:----	
1-3	trænere	træner	NC:piu#:--:----	
1-4	var	være	VF:----:ta:----	
1-5	henholdsvis	henholdsvis	D-:----:--:u---	
1-6	langt	lang	AD:----:--:p---	
1-7	nede	nede	D-:----:--:u---	
1-8	og	og	CC:----:--:----	
1-9	højt	høj	AD:----:--:p---	
1-10	oppe	oppe	D-:----:--:u---	
1-11	,	,	ZD	
1-12	da	da	CS:----:--:----	
1-13	de	de	PP:p-n#:--:-3n-	
1-14	på	på	T-:----:--:----	
1-15	det	den	PM:s-un:--:----	
1-16	velbesøgte	velbesøgt	AC:sdu#:--:p---	
1-17	pressemøde	pressemøde	NC:siun:--:----	
1-18	skulle	skulle	VF:----:ta:----	
1-19	forsøge	forsøge	VI:----:-a:----	
1-20	at	at	UI:----:--:----	
1-21	sætte	sætte	VI:----:-a:----	
1-22	ord	ord	NC:siun:--:----	
1-23	på	på	T-:----:--:----	
1-24	den	den	PM:s-uc:--:----	
1-25	kontantspillede	kontantspille	VP:sdu#:t-:----	
1-26	kamp	kamp	NC:siuc:--:----	
1-27	,	,	ZD	
1-28	hvor	hvor	D-:----:--:u---	
1-29	kampens	kamp	NC:sdgc:--:----	
1-30	dommer	dommer	NC:siuc:--:----	
1-31	,	,	ZD	
1-32	Kyros	Kyros	NP:siu#:--:----	
1-33	Vassaras	Vassaras	NP:siu#:--:----	
1-34	,	,	ZD	
1-35	gav	give	VF:----:ta:----	
1-36	et	en	PI:s-un:--:----	
1-37	rødt	rød	AC:siun:--:p---	
1-38	kort	kort	NC:siun:--:----	
1-39	til	til	T-:----:--:----	
1-40	Real	real	NC:siuc:--:----	
1-41	Madrids	Madrid	NP:sig#:--:----	
1-42	Pepe	Pepe	NP:siu#:--:----	
1-43	og	og	CC:----:--:----	
1-44	ellers	ellers	D-:----:--:u---	
1-45	hældte	hælde	VF:----:ta:----	
1-46	stakkevis	stakkevis	D-:----:--:u---	
1-47	af	af	T-:----:--:----	
1-48	gule	gul	AC:p#u#:--:p---	
1-49	kort	kort	NC:piu#:--:----	
1-50	ned	ned	D-:----:--:u---	
1-51	over	over	T-:----:--:----	
1-52	begge	begge	PM:p-u#:--:----	
1-53	hold	hold	NC:piu#:--:----	
1-54	.	.	ZP	

#id=2
#text= For det gule kort, han fik stukket  foran næsen, har sendt ham i skammekrogen med karantæne.
2-1	For	for	T-:----:--:----	
2-2	det	den	PM:s-un:--:----	
2-3	gule	gul	AC:sdu#:--:p---	
2-4	kort	kort	NC:siun:--:----	
2-5	,	,	ZD	
2-6	han	han	PP:s-nc:--:-3n-	
2-7	fik	få	VF:----:ta:----	
2-8	stukket	stikke	VT:siu#:t-:----	
2-9	foran	foran	T-:----:--:----	
2-10	næsen	næse	NC:sduc:--:----	
2-11	,	,	ZD	
2-12	har	have	VF:----:sa:----	
2-13	sendt	sende	VT:siu#:t-:----	
2-14	ham	han	PP:s-uc:--:-3n-	
2-15	i	i	T-:----:--:----	
2-16	skammekrogen	skammekrog	NC:sduc:--:----	
2-17	med	med	T-:----:--:----	
2-18	karantæne	karantæne	NC:siuc:--:----	
2-19	.	.	ZP	

#id=3
#text=Per Nielsen går for tiden med dybe overvejelser om at lægge  kortene på bordet og fortælle, hvad der gik galt, da Rene Meulensteen førte Brøndby dybt mod afgrunden.
3-1	Per	Per	NP:siu#:--:----	
3-2	Nielsen	Nielsen	NP:siu#:--:----	
3-3	går	gå	VF:----:sa:----	
3-4	for	for	T-:----:--:----	
3-5	tiden	tid	NC:sduc:--:----	
3-6	med	med	T-:----:--:----	
3-7	dybe	dyb	AC:p#u#:--:p---	
3-8	overvejelser	overvejelse	NC:piu#:--:----	
3-9	om	om	T-:----:--:----	
3-10	at	at	UI:----:--:----	
3-11	lægge	lægge	VI:----:-a:----	
3-12	kortene	kort	NC:pdu#:--:----	
3-13	på	på	T-:----:--:----	
3-14	bordet	bord	NC:sdun:--:----	
3-15	og	og	CC:----:--:----	
3-16	fortælle	fortælle	VI:----:-a:----	
3-17	,	,	ZD	
3-18	hvad	hvad	PR:s-u#:--:----	
3-19	der	der	US:----:--:----	
3-20	gik	gå	---:ta:----	
3-21	galt	gal	AD:----:--:p---	
3-22	,	,	ZD	
3-23	da	da	CS:----:--:----	
3-24	Rene	ren	AC:p#u#:--:p---	
3-25	Meulensteen	Meulensteen	NP:siu#:--:----	
3-26	førte	føre	VF:----:ta:----	
3-27	Brøndby	Brøndby	NP:siu#:--:----	
3-28	dybt	dyb	AD:----:--:p---	
3-29	mod	mod	T-:----:--:----	
3-30	afgrunden	afgrund	NC:sduc:--:----	
3-31	.	.	ZP	

#id=4
#text=Derfor trækker Klavs Bruun Jørgensen det gule kort.
4-1	Derfor	derfor	D-:----:--:u---	
4-2	trækker	trække	VF:----:sa:----	
4-3	Klavs	Klavs	NP:siu#:--:----	
4-4	Bruun	Bruun	NP:siu#:--:----	
4-5	Jørgensen	Jørgensen	NP:siu#:--:----	
4-6	det	det	XY:----:--:----	
4-7	gule	gul	AC:sdu#:--:p---	
4-8	kort	kort	NC:siun:--:----	
4-9	.	.	ZP	

#id=5
#text=Chelseas midtbanespiller Frank Lampard slap for tre spilledages karantæne, da det engelske fodboldforbund FA  omstødte det røde kort, som han blev idømt i weekendens kamp mod West Ham.
5-1	Chelseas	Chelsea	NP:sig#:--:----	
5-2	midtbanespiller	midtbanespiller	NC:siuc:--:----	
5-3	Frank	Frank	NP:siu#:--:----	
5-4	Lampard	Lampard	NP:siu#:--:----	
5-5	slap	slippe	VF:----:ta:----	
5-6	for	for	T-:----:--:----	
5-7	tre	tre	LC:--u-:--:----	
5-8	spilledages	spilledag	NC:pig#:--:----	
5-9	karantæne	karantæne	NC:siuc:--:----	
5-10	,	,	ZD	
5-11	da	da	CS:----:--:----	
5-12	det	den	PM:s-un:--:----	
5-13	engelske	engelsk	AC:sdu#:--:p---	
5-14	fodboldforbund	fodboldforbund	NC:siun:--:----	
5-15	FA	fa	NC:siun:--:----	
5-16	omstødte	omstøde	VF:----:ta:----	
5-17	det	den	PM:s-un:--:----	
5-18	røde	rød	AC:sdu#:--:p---	
5-19	kort	kort	NC:siun:--:----	
5-20	,	,	ZD	
5-21	som	som	US:----:--:----	
5-22	han	han	PP:s-nc:--:-3n-	
5-23	blev	blive	VF:----:ta:----	
5-24	idømt	idømme	VT:siu#:t-:----	
5-25	i	i	T-:----:--:----	
5-26	weekendens	weekend	NC:sdgc:--:----	
5-27	kamp	kamp	NC:siuc:--:----	
5-28	mod	mod	T-:----:--:----	
5-29	West	West	NP:siu#:--:----	
5-30	Ham	Ham	XY:----:--:----	
5-31	.	.	ZP	

#id=6
#text=Det ligger også i kortene, at skatteminister Kristian Jensen skal efterfølge Lars Løkke som finansminister.
6-1	Det	det	PP:s-un:--:-3n-	
6-2	ligger	ligge	VF:----:sa:----	
6-3	også	også	D-:----:--:u---	
6-4	i	i	T-:----:--:----	
6-5	kortene	kort	NC:pdu#:--:----	
6-6	,	,	ZD	
6-7	at	at	CS:----:--:----	
6-8	skatteminister	skatteminister	NC:siuc:--:----	
6-9	Kristian	Kristian	NP:siu#:--:----	
6-10	Jensen	Jensen	NP:siu#:--:----	
6-11	skal	skulle	VF:----:sa:----	
6-12	efterfølge	efterfølge	VI:----:-a:----	
6-13	Lars	Lars	NP:sig#:--:----	
6-14	Løkke	løkke	NC:siuc:--:----	
