 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Altså...mit deck er et rimelig interessant deck....det beskæftiger sig mest med irritation, og så låser jeg modstanderen fast, når jeg først har gjort hans deck ret ubrugeligt....(Jeg gider ikke til at skrive hvert eneste kort i mit deck...ville tage for lang tid...)
1-1	Altså	altså	D-:----:--:u---	
1-2	.	.	ZP	
1-3	.	.	ZP	
1-4	.	.	ZP	
1-5	mit	mit	XF:----:--:----	
1-6	deck	deck	NC:siun:--:----	
1-7	er	være	VF:----:sa:----	
1-8	et	en	PI:s-un:--:----	
1-9	rimelig	rimelig	AD:----:--:p---	
1-10	interessant	interessant	AC:siu§:--:p---	
1-11	deck	deck	NC:siun:--:----	
1-12	.	.	ZP	
1-13	.	.	ZP	
1-14	.	.	ZP	
1-15	.	.	ZP	
1-16	det	det	PP:s-un:--:-3n-	
1-17	beskæftiger	beskæftige	VF:----:sa:----	
1-18	sig	sig	XY:----:--:----	
1-19	mest	megen	AD:----:--:s---	
1-20	med	med	T-:----:--:----	
1-21	irritation	irritation	NC:siuc:--:----	
1-22	,	,	ZD	
1-23	og	og	CC:----:--:----	
1-24	så	så	D-:----:--:u---	
1-25	låser	låse	VF:----:sa:----	
1-26	jeg	jeg	PP:s-nc:--:-1n-	
1-27	modstanderen	modstander	NC:sduc:--:----	
1-28	fast	fast	AD:----:--:p---	
1-29	,	,	ZD	
1-30	når	når	CS:----:--:----	
1-31	jeg	jeg	PP:s-nc:--:-1n-	
1-32	først	først	D-:----:--:u---	
1-33	har	have	VF:----:sa:----	
1-34	gjort	gøre	VT:siu#:t-:----	
1-35	hans	hans	PO:#--#:--:-3ns	
1-36	deck	deck	NC:siun:--:----	
1-37	ret	ret	D-:----:--:u---	
1-38	ubrugeligt	ubrugelig	AC:siun:--:p---	
1-39	.	.	ZP	
1-40	.	.	ZP	
1-41	.	.	ZP	
1-42	.	.	ZP	
1-43	(	(	ZD	
1-44	Jeg	jeg	PP:s-nc:--:-1n-	
1-45	gider	gide	VF:----:sa:----	
1-46	ikke	ikke	D-:----:--:u---	
1-47	til	til	T-:----:--:----	
1-48	at	at	UI:----:--:----	
1-49	skrive	skrive	VI:----:-a:----	
1-50	hvert	hver	PI:s-un:--:----	
1-51	eneste	eneste	AC:§§u§:--:p---	
1-52	kort	kort	NC:siun:--:----	
1-53	i	i	T-:----:--:----	
1-54	mit	min	PO:s--n:--:-1ns	
1-55	deck	deck	NC:siun:--:----	
1-56	.	.	ZP	
1-57	.	.	ZP	
1-58	.	.	ZP	
1-59	ville	ville	VF:----:ta:----	
1-60	tage	tage	VI:----:-a:----	
1-61	for	for	T-:----:--:----	
1-62	lang	lang	AC:siuc:--:p---	
1-63	tid	tid	NC:siuc:--:----	
1-64	.	.	ZP	
1-65	.	.	ZP	
1-66	.	.	ZP	
1-67	)	)	ZD	

#id=2
#text= Det er lyder temmelig forvirrende... måske er det fordi jeg ikke rigtig kender navnene på de forskellige kort...
2-1	Det	det	PP:s-un:--:-3n-	
2-2	er	være	VF:----:sa:----	
2-3	lyder	lyde	NC:piu#:--:----	
2-4	temmelig	temmelig	D-:----:--:u---	
2-5	forvirrende	forvirre	VP:##u#:s-:----	
2-6	.	.	ZP	
2-7	.	.	ZP	
2-8	.	.	ZP	
2-9	måske	måske	D-:----:--:u---	
2-10	er	være	VF:----:sa:----	
2-11	det	det	PP:s-un:--:-3n-	
2-12	fordi	fordi	CS:----:--:----	
2-13	jeg	jeg	PP:s-nc:--:-1n-	
2-14	ikke	ikke	D-:----:--:u---	
2-15	rigtig	rigtig	AD:----:--:p---	
2-16	kender	kende	VF:----:sa:----	
2-17	navnene	navn	NC:pdu#:--:----	
2-18	på	på	T-:----:--:----	
2-19	de	den	PM:p-u#:--:----	
2-20	forskellige	forskellig	AC:p#u#:--:p---	
2-21	kort	kort	NC:piu#:--:----	
2-22	.	.	ZP	
2-23	.	.	ZP	
2-24	.	.	ZP	

#id=3
#text= Den eneste måde jeg kender hvor man ikke skal bruge polymerization kortet er hvis man bruger Cyber-Stein's effect.
3-1	Den	den	PM:s-uc:--:----	
3-2	eneste	eneste	AC:§§u§:--:p---	
3-3	måde	måde	NC:siuc:--:----	
3-4	jeg	jeg	NC:siun:--:----	
3-5	kender	kende	VF:----:sa:----	
3-6	hvor	hvor	D-:----:--:u---	
3-7	man	man	PI:#-uc:--:----	
3-8	ikke	ikke	D-:----:--:u---	
3-9	skal	skulle	VF:----:sa:----	
3-10	bruge	bruge	VI:----:-a:----	
