 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Det var heldigt, at kortene sad sådan, men det var Syds eneste chance, og det er vel meget rimeligt, at man en gang imellem bliver belønnet for at spille sin chance.
1-1	Det	det	PP:s-un:--:-3n-	
1-2	var	være	VF:----:ta:----	
1-3	heldigt	heldig	AC:siun:--:p---	
1-4	,	,	ZD	
1-5	at	at	CS:----:--:----	
1-6	kortene	kort	NC:pdu#:--:----	
1-7	sad	sidde	VF:----:ta:----	
1-8	sådan	sådan	D-:----:--:u---	
1-9	,	,	ZD	
1-10	men	men	CC:----:--:----	
1-11	det	det	PP:s-un:--:-3n-	
1-12	var	var	XY:----:--:----	
1-13	Syds	syd	NC:sigc:--:----	
1-14	eneste	eneste	AC:§§u§:--:p---	
1-15	chance	chance	NC:siuc:--:----	
1-16	,	,	ZD	
1-17	og	og	CC:----:--:----	
1-18	det	det	PP:s-un:--:-3n-	
1-19	er	være	VF:----:sa:----	
1-20	vel	vel	D-:----:--:u---	
1-21	meget	megen	AD:----:--:p---	
1-22	rimeligt	rimelig	AC:siun:--:p---	
1-23	,	,	ZD	
1-24	at	at	CS:----:--:----	
1-25	man	man	PI:#-uc:--:----	
1-26	en	en	PI:s-uc:--:----	
1-27	gang	gang	NC:siuc:--:----	
1-28	imellem	imellem	D-:----:--:u---	
1-29	bliver	blive	VF:----:sa:----	
1-30	belønnet	belønne	VT:siu#:t-:----	
1-31	for	for	T-:----:--:----	
1-32	at	at	UI:----:--:----	
1-33	spille	spille	VI:----:-a:----	
1-34	sin	sin	PO:s--c:--:-3ys	
1-35	chance	chance	NC:siuc:--:----	
1-36	.	.	ZP	

#id=2
#text=Den værste var nok en anden frivillig, der ikke kunne få sit kort.
2-1	Den	den	PM:s-uc:--:----	
2-2	værste	slem	AC:§du§:--:s---	
2-3	var	være	VF:----:ta:----	
2-4	nok	nok	D-:----:--:u---	
2-5	en	en	PI:s-uc:--:----	
2-6	anden	anden	PI:s-uc:--:----	
2-7	frivillig	frivillig	AC:siuc:--:p---	
2-8	,	,	ZD	
2-9	der	der	US:----:--:----	
2-10	ikke	ikke	D-:----:--:u---	
2-11	kunne	kunne	VF:----:ta:----	
2-12	få	få	VI:----:-a:----	
2-13	sit	sin	PO:s--n:--:-3ys	
2-14	kort	kort	NC:siun:--:----	
2-15	.	.	ZP	

#id=3
#text= Den russiske avis Kommersant mener, at det "nu er Kadyrovs afgørelse", og at han næppe ønsker at blive kigget nærmere i kortene.
3-1	Den	den	PM:s-uc:--:----	
3-2	russiske	russisk	AC:sdu#:--:p---	
3-3	avis	avis	NC:siuc:--:----	
3-4	Kommersant	Kommersant	NP:siu#:--:----	
3-5	mener	mene	VF:----:sa:----	
3-6	,	,	ZD	
3-7	at	at	CS:----:--:----	
3-8	det	den	PM:s-un:--:----	
3-9	"	"	ZI	
3-10	nu	nu	D-:----:--:u---	
3-11	er	være	VF:----:sa:----	
3-12	Kadyrovs	Kadyrovs	NP:sig#:--:----	
3-13	afgørelse	afgørelse	NC:siuc:--:----	
3-14	"	"	ZI	
3-15	,	,	ZD	
3-16	og	og	CC:----:--:----	
3-17	at	at	CS:----:--:----	
3-18	han	han	PP:s-nc:--:-3n-	
3-19	næppe	næppe	D-:----:--:u---	
3-20	ønsker	ønske	VF:----:sa:----	
3-21	at	at	UI:----:--:----	
3-22	blive	blive	VI:----:-a:----	
3-23	kigget	kig	NC:sdun:--:----	
3-24	nærmere	nær	AD:----:--:c---	
3-25	i	i	T-:----:--:----	
3-26	kortene	kort	NC:pdu#:--:----	
3-27	.	.	ZP	

#id=4
#text= Singh har omvendt fokuseret på Advanis partnerskab med den omstridte BJP-politiker Narendra Modi (se under Gujarat på kortet).
4-1	Singh	Singh	NP:siu#:--:----	
4-2	har	have	VF:----:sa:----	
