 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Grønkjær er FCK's bedste kort mod Apoel.
1-1	Grønkjær	kjær	NP:siu#:--:----	
1-2	er	være	VF:----:sa:----	
1-3	FCK	FCK	NW:----:--:----	
1-4	'	'	ZA	
1-5	s	s	XY:----:--:----	
1-6	bedste	god	AC:§du§:--:s---	
1-7	kort	kort	NC:siun:--:----	
1-8	mod	mod	T-:----:--:----	
1-9	Apoel	Apoel	NP:siu#:--:----	
1-10	.	.	ZP	

#id=2
#text= Så i år har man blandet kortene på en mere traditionel festivalagtig måde.
2-1	Så	så	D-:----:--:u---	
2-2	i	i	T-:----:--:----	
2-3	år	år	NC:siun:--:----	
2-4	har	have	VF:----:sa:----	
2-5	man	man	PI:#-uc:--:----	
2-6	blandet	blande	VT:siu#:t-:----	
2-7	kortene	kort	NC:pdu#:--:----	
2-8	på	på	T-:----:--:----	
2-9	en	en	PI:s-uc:--:----	
2-10	mere	megen	AD:----:--:c---	
2-11	traditionel	traditionel	AC:siuc:--:p---	
2-12	festivalagtig	festivalagtig	AC:siuc:--:p---	
2-13	måde	måde	NC:siuc:--:----	
2-14	.	.	ZP	

#id=3
#text=På fodboldbanen er Merve 3. klasses stærkeste kort.
3-1	På	på	T-:----:--:----	
3-2	fodboldbanen	fodboldbane	NC:sduc:--:----	
3-3	er	være	VF:----:sa:----	
3-4	Merve	Merve	NP:siu#:--:----	
3-5	3	3	LC:--u-:--:----	
3-6	.	.	ZP	
3-7	klasses	klasse	NC:sigc:--:----	
3-8	stærkeste	stærk	AC:§du§:--:s---	
3-9	kort	kort	NC:siun:--:----	
3-10	.	.	ZP	

#id=4
#text= David Beckham blev præsenteret for et direkte rødt kort i LA Galaxys hjemmekamp mod Seattle Sounders.
4-1	David	David	NP:siu#:--:----	
4-2	Beckham	Beckham	NP:siu#:--:----	
4-3	blev	blive	VF:----:ta:----	
4-4	præsenteret	præsentere	VT:siu#:t-:----	
4-5	for	for	T-:----:--:----	
4-6	et	en	PI:s-un:--:----	
4-7	direkte	direkte	AD:----:--:p---	
4-8	rødt	rød	AC:siun:--:p---	
4-9	kort	kort	NC:siun:--:----	
4-10	i	i	T-:----:--:----	
4-11	LA	La	NP:siu#:--:----	
4-12	Galaxys	Galaxys	NP:sig#:--:----	
4-13	hjemmekamp	hjemmekamp	NC:siuc:--:----	
4-14	mod	mod	T-:----:--:----	
4-15	Seattle	Seattle	NP:siu#:--:----	
4-16	Sounders	Sounders	NP:siu#:--:----	
4-17	.	.	ZP	

#id=5
#text=Det røde kort fik han for en glidende tackling med knopperne forrest.
5-1	Det	den	PM:s-un:--:----	
5-2	røde	rød	AC:sdu#:--:p---	
5-3	kort	kort	NC:siun:--:----	
5-4	fik	få	VF:----:ta:----	
5-5	han	han	PP:s-nc:--:-3n-	
5-6	for	for	T-:----:--:----	
5-7	en	en	PI:s-uc:--:----	
5-8	glidende	glide	VP:##u#:s-:----	
5-9	tackling	tackling	NC:siuc:--:----	
5-10	med	med	T-:----:--:----	
5-11	knopperne	knop	NC:pdu#:--:----	
5-12	forrest	forrest	AD:----:--:p---	
5-13	.	.	ZP	

#id=6
#text=Det var en hård tackling, men den var ikke til rødt kort", sagde en utilfreds Beckham.
6-1	Det	det	PP:s-un:--:-3n-	
6-2	var	være	VF:----:ta:----	
6-3	en	en	--:----	
6-4	hård	hård	AC:siuc:--:p---	
6-5	tackling	tackling	NC:siuc:--:----	
6-6	,	,	ZD	
6-7	men	men	CC:----:--:----	
6-8	den	den	PP:s-uc:--:-3n-	
6-9	var	være	VF:----:ta:----	
6-10	ikke	ikke	D-:----:--:u---	
6-11	til	til	T-:----:--:----	
6-12	rødt	rød	AC:siun:--:p---	
6-13	kort	kort	NC:siun:--:----	
6-14	"	"	ZI	
6-15	,	,	ZD	
6-16	sagde	sige	VF:----:ta:----	
6-17	en	en	PI:s-uc:--:----	
6-18	utilfreds	utilfreds	AC:siuc:--:p---	
6-19	Beckham	Beckham	NP:siu#:--:----	
6-20	.	.	ZP	

#id=7
#text=Det er anden gang i Beckhams tid i USA, at han får et rødt kort.
7-1	Det	det	PP:s-un:--:-3n-	
7-2	er	være	VF:----:sa:----	
7-3	anden	anden	PI:s-uc:--:----	
7-4	gang	gang	NC:siuc:--:----	
7-5	i	i	T-:----:--:----	
7-6	Beckhams	Beckhams	NP:sig#:--:----	
7-7	tid	tid	NC:siuc:--:----	
7-8	i	i	T-:----:--:----	
7-9	USA	USA	NP:siu#:--:----	
7-10	,	,	ZD	
7-11	at	at	CS:----:--:----	
7-12	han	han	PP:s-nc:--:-3n-	
7-13	får	få	VF:----:sa:----	
7-14	et	en	PI:s-un:--:----	
7-15	rødt	rød	AC:siun:--:p---	
7-16	kort	kort	NC:siun:--:----	
7-17	.	.	ZP	

#id=8
#text=Hjemmeholdets Benoit Assou-Ekotto bragte Tottenham på 1-0 kort før pausen.
8-1	Hjemmeholdets	hjemmehold	NC:sdgn:--:----	
8-2	Benoit	Benoit	NP:siu#:--:----	
8-3	Assou	Assou	NP:siu#:--:----	
8-4	-	-	ZH	
8-5	Ekotto	Ekotto	NP:siu#:--:----	
8-6	bragte	bringe	VF:----:ta:----	
8-7	Tottenham	Tottenham	NP:siu#:--:----	
8-8	på	på	T-:----:--:----	
8-9	1	1	LC:--u-:--:----	
8-10	-	-	ZH	
8-11	0	0	LC:--u-:--:----	
8-12	kort	kort	NC:piu#:--:----	
8-13	før	før	T-:----:--:----	
8-14	pausen	pause	NC:sduc:--:----	
8-15	.	.	ZP	

#id=9
#text= DK Se de fem steder på et interaktivt kort.
9-1	DK	dk	XS:----:--:----	
9-2	Se	SE	NP:siu#:--:----	
9-3	de	de	NP:siu#:--:----	
9-4	fem	fem	LC:--u-:--:----	
9-5	steder	sted	NC:piu#:--:----	
9-6	på	på	T-:----:--:----	
9-7	et	en	PI:s-un:--:----	
9-8	interaktivt	interaktiv	AC:siun:--:p---	
9-9	kort	kort	NC:siun:--:----	
9-10	.	.	ZP	

#id=10
#text=Der er angivelig trukket meget store beløb på kortet her i landet, så myndighederne går ud fra, at han derfor reelt bor - og er skattepligtig - her i landet.
10-1	Der	der	US:----:--:----	
10-2	er	være	VF:----:sa:----	
10-3	angivelig	angivelig	AD:----:--:p---	
10-4	trukket	trække	VT:siu#:t-:----	
10-5	meget	megen	AD:----:--:p---	
10-6	store	stor	AC:sdu#:--:p---	
10-7	beløb	beløb	NC:siun:--:----	
10-8	på	på	T-:----:--:----	
10-9	kortet	kort	NC:sdun:--:----	
10-10	her	her	D-:----:--:u---	
10-11	i	i	T-:----:--:----	
10-12	landet	land	NC:sdun:--:----	
10-13	,	,	ZD	
10-14	så	så	:----:--:----	
10-15	myndighederne	myndighed	NC:pdu#:--:----	
10-16	går	gå	VF:----:sa:----	
10-17	ud	ud	D-:----:--:u---	
10-18	fra	fra	T-:----:--:----	
10-19	,	,	ZD	
10-20	at	at	CS:----:--:----	
10-21	han	han	PP:s-nc:--:-3n-	
10-22	derfor	derfor	D-:----:--:u---	
10-23	reelt	reel	AC:siun:--:p---	
10-24	bor	bor	NC:siun:--:----	
10-25	-	-	NC:piu#:--:----	
10-26	og	og	CC:----:--:----	
10-27	er	være	VF:----:sa:----	
10-28	skattepligtig	skattepligtig	AC:siuc:--:p---	
10-29	-	-	NC:piu#:--:----	
10-30	her	her	D-:----:--:u---	
10-31	i	i	T-:----:--:----	
10-32	landet	land	NC:sdun:--:----	
10-33	.	.	ZP	

#id=11
#text= Nogle gange i følge med en af hundene, helst Laika som er yngst og mindst mageligt anlagt, andre gange uden nogen af dem, hvis jeg har mistanke om at min faste elg står der hvor den plejer at stå og tygger og småsover inde i buskadset ved grusvejen gennem Dæsjroa, eller Dalsroen, som det hedder på nogle kort.
11-1	Nogle	nogen	PI:p-u#:--:----	
11-2	gange	gang	NC:piu#:--:----	
11-3	i	i	T-:----:--:----	
11-4	følge	følge	NC:siuc:--:----	
11-5	med	med	T-:----:--:----	
11-6	en	en	PI:s-uc:--:----	
11-7	af	af	T-:----:--:----	
11-8	hundene	hund	NC:pdu#:--:----	
11-9	,	,	ZD	
11-10	helst	helst	D-:----:--:u---	
11-11	Laika	Laika	NP:siu#:--:----	
11-12	som	som	US:----:--:----	
11-13	er	være	VF:----:sa:----	
11-14	yngst	ung	AD:----:--:s---	
11-15	og	og	CC:----:--:----	
11-16	mindst	liden	AD:----:--:s---	
11-17	mageligt	magelig	AD:----:--:p---	
11-18	anlagt	anlægge	VT:siu#:t-:----	
11-19	,	,	ZD	
11-20	andre	anden	PI:p-u#:--:----	
11-21	gange	gang	NC:piu#:--:----	
11-22	uden	uden	T-:----:--:----	
11-23	nogen	nogen	PI:s-uc:--:----	
11-24	af	af	T-:----:--:----	
11-25	dem	de	PP:p-u#:--:-3n-	
11-26	,	,	ZD	
11-27	hvis	hvis	CS:----:--:----	
11-28	jeg	jeg	PP:s-nc:--:-1n-	
11-29	har	have	VF:----:sa:----	
11-30	mistanke	mistanke	NC:siuc:--:----	
11-31	om	om	T-:----:--:----	
11-32	at	at	CS:----:--:----	
11-33	min	min	PO:s--c:--:-1ns	
11-34	faste	fast	AC:sdu#:--:p---	
11-35	elg	elg	NC:siuc:--:----	
11-36	står	stå	VF:----:sa:----	
11-37	der	der	US:----:--:----	
11-38	hvor	hvor	D-:----:--:u---	
11-39	den	den	PP:s-uc:--:-3n-	
11-40	plejer	pleje	VF:----:sa:----	
11-41	at	at	UI:----:--:----	
11-42	stå	stå	VI:----:-a:----	
11-43	og	og	CC:----:--:----	
11-44	tygger	tygge	VF:----:sa:----	
11-45	og	og	CC:----:--:----	
11-46	småsover	småsove	VF:----:sa:----	
11-47	inde	inde	D-:----:--:u---	
11-48	i	i	T-:----:--:----	
11-49	buskadset	buskads	NC:sdun:--:----	
11-50	ved	ved	T-:----:--:----	
11-51	grusvejen	grusvej	NC:sduc:--:----	
11-52	gennem	gennem	T-:----:--:----	
11-53	Dæsjroa	Dæsjroa	NP:siu#:--:----	
11-54	,	,	ZD	
11-55	eller	eller	CC:----:--:----	
11-56	Dalsroen	Dalsroen	NP:siu#:--:----	
11-57	,	,	ZD	
11-58	som	som	US:----:--:----	
11-59	det	det	PP:s-un:--:-3n-	
11-60	hedder	hedde	VF:----:sa:----	
11-61	på	på	T-:----:--:----	
11-62	nogle	nogen	PI:p-u#:--:----	
11-63	kort	kort	NC:piu#:--:----	
11-64	.	.	ZP	

#id=12
#text=Sådan kan PET-komitéens vurdering af vores næsten navnebroder PET-kommissionens beretning på 2.600 sider om ni års arbejde til 70 mio. kr. kort beskrives.
12-1	Sådan	sådan	D-:----:--:u---	
12-2	kan	kunne	VF:----:sa:----	
12-3	PET	PET	NW:----:--:----	
12-4	-	-	ZH	
12-5	komitéens	komité	NC:sdgc:--:----	
12-6	vurdering	vurdering	NC:siuc:--:----	
12-7	af	af	T-:----:--:----	
12-8	vores	vores	PO:#--#:--:-1np	
12-9	næsten	næsten	D-:----:--:u---	
12-10	navnebroder	navnebroder	NC:siuc:--:----	
12-11	PET	PET	NW:----:--:----	
12-12	-	-	ZH	
12-13	kommissionens	kommission	NC:sdgc:--:----	
12-14	beretning	beretning	NC:siuc:--:----	
12-15	på	på	T-:----:--:----	
12-16	2	2	LC:--u-:--:----	
12-17	.	.	ZP	
12-18	600	600	LC:--u-:--:----	
12-19	sider	side	NC:piu#:--:----	
12-20	om	om	T-:----:--:----	
12-21	ni	ni	LC:--u-:--:----	
12-22	års	år	NC:pig#:--:----	
12-23	arbejde	arbejde	NC:siun:--:----	
12-24	til	til	T-:----:--:----	
12-25	70	70	LC:--u-:--:----	
12-26	mio	mio	XS:----:--:----	
12-27	.	.	ZP	
12-28	kr	krone	NC:piu#:--:----	
12-29	.	.	ZP	
12-30	kort	kort	NC:siun:--:----	
12-31	beskrives	beskrive	VF:----:sp:----	
12-32	.	.	ZP	

#id=13
#text= Jeg ved ikke, om den drink kommer  på kortet.
13-1	Jeg	jeg	PP:s-nc:--:-1n-	
13-2	ved	vide	VF:----:sa:----	
13-3	ikke	ikke	D-:----:--:u---	
13-4	,	,	ZD	
13-5	om	om	--	
13-6	den	den	PM:s-uc:--:----	
13-7	drink	drink	NC:siuc:--:----	
13-8	kommer	komme	VF:----:sa:----	
13-9	på	på	T-:----:--:----	
13-10	kortet	kort	NC:sdun:--:----	
13-11	.	.	ZP	

#id=14
#text= Man sidder i store båse beklædt med rødt læder og passerer den ubestridte hovedrolleindehaver på vej gennem restauranten: kødet i alle kortets udskæringer ligger on display i en dekorativ kølemontre.
14-1	Man	man	PI:#-uc:--:----	
14-2	sidder	sidde	VF:----:sa:----	
14-3	i	i	T-:----:--:----	
14-4	store	stor	AC:p#u#:--:p---	
14-5	båse	bås	NC:piu#:--:----	
14-6	beklædt	beklæde	VT:siu#:t-:----	
14-7	med	med	T-:----:--:----	
14-8	rødt	rød	AC:siun:--:p---	
14-9	læder	læder	NC:siun:--:----	
14-10	og	og	CC:----:--:----	
14-11	passerer	passere	VF:----:sa:----	
14-12	den	den	PM:s-uc:--:----	
14-13	ubestridte	ubestridt	AC:sdu#:--:p---	
14-14	hovedrolleindehaver	hovedrolleindehaver	NC:siuc:--:----	
14-15	på	på	T-:----:--:----	
14-16	vej	vej	NC:siuc:--:----	
14-17	gennem	gennem	T-:----:--:----	
14-18	restauranten	restaurant	NC:sduc:--:----	
14-19	:	:	ZP	
14-20	kødet	kød	NC:sdun:--:----	
14-21	i	i	T-:----:--:----	
14-22	alle	al	PI:p-u#:--:----	
14-23	kortets	kort	NC:sdgn:--:----	
14-24	udskæringer	udskæring	NC:piu#:--:----	
14-25	ligger	ligger	XY:----:--:----	
14-26	on	On	XF:----:--:----	
14-27	display	display	NC:siun:--:----	
14-28	i	i	T-:----:--:----	
14-29	en	en	PI:s-uc:--:----	
14-30	dekorativ	dekorativ	AC:siuc:--:p---	
14-31	kølemontre	kølemontre	NC:siuc:--:----	
14-32	.	.	ZP	

#id=15
#text= Det er uden tvivl betjeningen og de livlige omgivelser, der er det stærkeste kort på Good Karma Café.
15-1	Det	det	PP:s-un:--:-3n-	
15-2	er	være	VF:----:sa:----	
15-3	uden	uden	T-:----:--:----	
15-4	tvivl	tvivl	NC:siuc:--:----	
15-5	betjeningen	betjening	NC:sduc:--:----	
15-6	og	og	CC:----:--:----	
15-7	de	den	PM:p-u#:--:----	
15-8	livlige	livlig	AC:p#u#:--:p---	
15-9	omgivelser	omgivelse	NC:piu#:--:----	
15-10	,	,	ZD	
15-11	der	der	US:----:--:----	
15-12	er	være	VF:----:sa:----	
15-13	det	den	PM:s-un:--:----	
15-14	stærkeste	stærk	AC:§du§:--:s---	
15-15	kort	kort	NC:siun:--:----	
15-16	på	på	XY:----:--:----	
15-17	Good	good	XF:----:--:----	
15-18	Karma	Karma	NP:siu#:--:----	
15-19	Café	café	NC:siuc:--:----	
15-20	.	.	ZP	

#id=16
#text="Ved at kigge på Søren Hansens kreditkortoplysninger har vi kunnet se, hvor kortene hovedsagelig har været brugt.
16-1	"	"	ZI	
16-2	Ved	ved	T-:----:--:----	
16-3	at	at	UI:----:--:----	
16-4	kigge	kigge	VI:----:-a:----	
16-5	på	på	T-:----:--:----	
16-6	Søren	Søren	NP:siu#:--:----	
16-7	Hansens	Hansen	NP:sig#:--:----	
16-8	kreditkortoplysninger	kreditkortoplysning	NC:piu#:--:----	
16-9	har	have	VF:----:sa:----	
16-10	vi	vi	PP:p-nc:--:-1n-	
16-11	kunnet	kunne	VT:siu#:t-:----	
16-12	se	se	VI:----:-a:----	
16-13	,	,	ZD	
16-14	hvor	hvor	D-:----:--:u---	
16-15	kortene	kort	NC:pdu#:--:----	
