 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Da milliardæren giftede sig med den 20 år yngre Melania Trump i 2005, stod det nærmest skrevet i kortene, at de ville arbejde på at avle en arving.
1-1	Da	da	CS:----:--:----	
1-2	milliardæren	milliardær	NC:sduc:--:----	
1-3	giftede	gifte	VF:----:ta:----	
1-4	sig	sig	PP:#-u#:--:-3y-	
1-5	med	med	T-:----:--:----	
1-6	den	den	--	
1-7	20	20	LO:--u#:--:----	
1-8	år	år	NC:siun:--:----	
1-9	yngre	ung	AD:----:--:c---	
1-10	Melania	Melania	NP:siu#:--:----	
1-11	Trump	Trump	NP:siu#:--:----	
1-12	i	i	T-:----:--:----	
1-13	2005	2005	LC:--u-:--:----	
1-14	,	,	ZD	
1-15	stod	stå	VF:----:ta:----	
1-16	det	den	PM:s-un:--:----	
1-17	nærmest	nær	AD:----:--:s---	
1-18	skrevet	skrive	VT:siu#:t-:----	
1-19	i	i	T-:----:--:----	
1-20	kortene	kort	NC:pdu#:--:----	
1-21	,	,	ZD	
1-22	at	at	CS:----:--:----	
1-23	de	de	PP:p-n#:--:-3n-	
1-24	ville	ville	VF:----:ta:----	
1-25	arbejde	arbejde	VI:----:-a:----	
1-26	på	på	T-:----:--:----	
1-27	at	at	UI:----:--:----	
1-28	avle	avle	VI:----:-a:----	
1-29	en	en	PI:s-uc:--:----	
1-30	arving	arving	NC:siuc:--:----	
1-31	.	.	ZP	

#id=2
#text= Men jeg har for længst generhvervet kortet, smiler SE og HØRs favorit, som beskriver sig selv som aktiv, ærlig og kontant.
2-1	Men	men	CC:----:--:----	
2-2	jeg	jeg	PP:s-nc:--:-1n-	
2-3	har	have	VF:----:sa:----	
2-4	for	for	T-:----:--:----	
2-5	længst	længst	XY:----:--:----	
2-6	generhvervet	generhverve	VT:siu#:t-:----	
2-7	kortet	kort	NC:sdun:--:----	
2-8	,	,	ZD	
2-9	smiler	smile	VF:----:sa:----	
2-10	SE	SE	NP:siu#:--:----	
2-11	og	og	CC:----:--:----	
2-12	HØRs	hør	NC:sigc:--:----	
2-13	favorit	favorit	NC:siuc:--:----	
2-14	,	,	ZD	
2-15	som	som	US:----:--:----	
2-16	beskriver	beskrive	VF:----:sa:----	
2-17	sig	sig	PP:#-u#:--:-3y-	
2-18	selv	selv	PM:#-u#:--:----	
2-19	som	som	US:----:--:----	
2-20	aktiv	aktiv	AC:siuc:--:p---	
2-21	,	,	ZD	
2-22	ærlig	ærlig	AC:siuc:--:p---	
2-23	og	og	CC:----:--:----	
2-24	kontant	kontant	AC:siu§:--:p---	
2-25	.	.	ZP	

#id=3
#text= L. kort efter at køre bilen ind i en parkeret lastbil.
3-1	L	L	NP:siu#:--:----	
3-2	.	.	ZP	
3-3	kort	kort	NC:siun:--:----	
3-4	efter	efter	T-:----:--:----	
3-5	at	at	UI:----:--:----	
3-6	køre	køre	VI:----:-a:----	
3-7	bilen	bil	NC:sduc:--:----	
3-8	ind	ind	D-:----:--:u---	
3-9	i	i	T-:----:--:----	
3-10	en	en	PI:s-uc:--:----	
3-11	parkeret	parkere	VT:siu#:t-:----	
3-12	lastbil	lastbil	NC:siuc:--:----	
3-13	.	.	ZP	

#id=4
#text=Og alligevel forstår jeg ikke, at kongehuset ikke spillede med åbne kort, da de fandt ud af, at vi havde lugtet lunten.
4-1	Og	og	CC:----:--:----	
4-2	alligevel	alligevel	D-:----:--:u---	
4-3	forstår	forstå	VF:----:sa:----	
4-4	jeg	jeg	PP:s-nc:--:-1n-	
4-5	ikke	ikke	D-:----:--:u---	
4-6	,	,	ZD	
4-7	at	at	CS:----:--:----	
4-8	kongehuset	kongehus	NC:sdun:--:----	
4-9	ikke	ikke	D-:----:--:u---	
4-10	spillede	spille	VF:----:ta:----	
4-11	med	med	T-:----:--:----	
4-12	åbne	åben	AC:p#u#:--:p---	
4-13	kort	kort	NC:piu#:--:----	
4-14	,	,	ZD	
4-15	da	da	CS:----:--:----	
4-16	de	de	PP:p-n#:--:-3n-	
4-17	fandt	finde	VF:----:ta:----	
4-18	ud	ud	D-:----:--:u---	
4-19	af	af	T-:----:--:----	
4-20	,	,	ZD	
4-21	at	at	CS:----:--:----	
4-22	vi	vi	PP:p-nc:--:-1n-	
4-23	havde	have	VF:----:ta:----	
4-24	lugtet	lugte	VT:siu#:t-:----	
4-25	lunten	lunte	NC:sduc:--:----	
4-26	.	.	ZP	

#id=5
#text=Det stod sgu ikke i kortene, da jeg var ung skuespiller.
5-1	Det	det	PP:s-un:--:-3n-	
5-2	stod	stå	VF:----:ta:----	
5-3	sgu	sgu	D-:----:--:u---	
5-4	ikke	ikke	D-:----:--:u---	
5-5	i	i	T-:----:--:----	
5-6	kortene	kort	NC:pdu#:--:----	
5-7	,	,	ZD	
5-8	da	da	CS:----:--:----	
5-9	jeg	jeg	PP:s-nc:--:-1n-	
5-10	var	være	VF:----:ta:----	
5-11	ung	ung	AC:siuc:--:p---	
5-12	skuespiller	skuespiller	NC:siuc:--:----	
5-13	.	.	ZP	

#id=6
#text=- Det lå ikke i kortene, at jeg skulle dyrke eliteidræt.
6-1	-	-	NC:piu#:--:----	
6-2	Det	Det	XY:----:--:----	
6-3	lå	ligge	VF:----:ta:----	
6-4	ikke	ikke	D-:----:--:u---	
6-5	i	i	T-:----:--:----	
6-6	kortene	kort	NC:pdu#:--:----	
6-7	,	,	ZD	
6-8	at	at	CS:----:--:----	
6-9	jeg	jeg	PP:s-nc:--:-1n-	
6-10	skulle	skulle	VF:----:ta:----	
6-11	dyrke	dyrke	VI:----:-a:----	
6-12	eliteidræt	eliteidræt	NC:siuc:--:----	
6-13	.	.	ZP	

#id=7
#text= Hun er ligesom de andre dommer-kandidater blevet instrueret i at holde kortene tæt ind til kroppen.
7-1	Hun	hun	PP:s-nc:--:-3n-	
7-2	er	være	VF:----:sa:----	
7-3	ligesom	ligesom	CS:----:--:----	
7-4	de	den	PM:p-u#:--:----	
7-5	andre	anden	PI:p-u#:--:----	
7-6	dommer	dommer	NW:----:--:----	
7-7	-	-	ZH	
7-8	kandidater	kandidat	NC:piu#:--:----	
7-9	blevet	blive	VT:siu#:t-:----	
7-10	instrueret	instruere	VT:siu#:t-:----	
7-11	i	i	T-:----:--:----	
7-12	at	at	UI:----:--:----	
7-13	holde	holde	VI:----:-a:----	
7-14	kortene	kort	NC:pdu#:--:----	
7-15	tæt	tæt	AD:----:--:p---	
7-16	ind	ind	D-:----:--:u---	
7-17	til	til	T-:----:--:----	
7-18	kroppen	krop	NC:sduc:--:----	
7-19	.	.	ZP	

#id=8
#text=Preben Kristensen har spillet sine kort bedst.
8-1	Preben	Preben	NP:siu#:--:----	
8-2	Kristensen	Kristensen	NP:siu#:--:----	
8-3	har	have	VF:----:sa:----	
8-4	spillet	spille	VT:siu#:t-:----	
8-5	sine	sin	PO:p--#:--:-3ys	
8-6	kort	kort	NC:piu#:--:----	
8-7	bedst	god	AD:----:--:s---	
8-8	.	.	ZP	

#id=9
#text=" Jeg har før fået seneskedehindebetændelse i håndleddet af at bære poser, og slidt det ene kort op efter det andet - men slidt en ( helt ny endda) babs op på shopping..
9-1	"	"	ZI	
9-2	Jeg	jeg	PP:s-nc:--:-1n-	
9-3	har	have	VF:----:sa:----	
9-4	før	før	D-:----:--:u---	
9-5	fået	få	VT:siu#:t-:----	
9-6	seneskedehindebetændelse	seneskedehindebetændelse	NC:siuc:--:----	
9-7	i	i	T-:----:--:----	
9-8	håndleddet	håndled	NC:sdun:--:----	
9-9	af	af	T-:----:--:----	
9-10	at	at	UI:----:--:----	
9-11	bære	bære	VI:----:-a:----	
9-12	poser	pose	NC:piu#:--:----	
9-13	,	,	ZD	
9-14	og	og	CC:----:--:----	
9-15	slidt	slide	VT:siu#:t-:----	
9-16	det	den	PM:s-un:--:----	
9-17	ene	ene	AC:§§u§:--:p---	
9-18	kort	kort	NC:siun:--:----	
9-19	op	op	D-:----:--:u---	
9-20	efter	efter	T-:----:--:----	
9-21	det	den	PM:s-un:--:----	
9-22	andet	anden	PI:s-un:--:----	
9-23	-	-	NC:piu#:--:----	
9-24	men	men	CC:----:--:----	
9-25	slidt	slide	VT:siu#:t-:----	
9-26	en	en	PI:s-uc:--:----	
9-27	(	(	ZD	
9-28	helt	hel	AD:----:--:p---	
9-29	ny	ny	AC:siuc:--:p---	
9-30	endda	endda	D-:----:--:u---	
9-31	)	)	ZD	
9-32	babs	babs	NC:siuc:--:----	
9-33	op	op	D-:----:--:u---	
9-34	på	på	T-:----:--:----	
9-35	shopping	shopping	NC:siuc:--:----	
9-36	.	.	ZP	
9-37	.	.	ZP	

#id=10
#text= Oven på dommen valgte jeg at spille med åbne kort og advarede alle mod produktet.
10-1	Oven	oven	D-:----:--:u---	
10-2	på	på	T-:----:--:----	
10-3	dommen	dom	NC:sduc:--:----	
10-4	valgte	vælge	VF:----:ta:----	
10-5	jeg	jeg	PP:s-nc:--:-1n-	
10-6	at	at	UI:----:--:----	
10-7	spille	spille	VI:----:-a:----	
10-8	med	med	T-:----:--:----	
10-9	åbne	åben	AC:p#u#:--:p---	
10-10	kort	kort	NC:piu#:--:----	
10-11	og	og	CC:----:--:----	
10-12	advarede	advare	VF:----:ta:----	
10-13	alle	al	PI:p-u#:--:----	
10-14	mod	mod	T-:----:--:----	
10-15	produktet	produkt	NC:sdun:--:----	
10-16	.	.	ZP	

#id=11
#text=Sarah Louise Christiansen hører ellers til den eksklusive skare af kendte personer, der har fået deres kontrafej hængt op i lokalet og også fået tildelt et særligt VIP-kort.
11-1	Sarah	Sarah	XY:----:--:----	
11-2	Louise	Louise	NP:siu#:--:----	
11-3	Christiansen	Christiansen	NP:siu#:--:----	
11-4	hører	høre	VF:----:sa:----	
11-5	ellers	ellers	D-:----:--:u---	
11-6	til	til	T-:----:--:----	
11-7	den	den	PM:s-uc:--:----	
11-8	eksklusive	eksklusiv	AC:sdu#:--:p---	
11-9	skare	skare	NC:siuc:--:----	
11-10	af	af	T-:----:--:----	
11-11	kendte	kendt	AC:p#u#:--:p---	
11-12	personer	person	NC:piu#:--:----	
11-13	,	,	ZD	
11-14	der	der	US:----:--:----	
11-15	har	have	VF:----:sa:----	
11-16	fået	få	VT:siu#:t-:----	
11-17	deres	deres	PO:#--#:--:-3np	
11-18	kontrafej	kontrafej	NC:siun:--:----	
11-19	hængt	hænge	VT:siu#:t-:----	
11-20	op	op	D-:----:--:u---	
11-21	i	i	T-:----:--:----	
