 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Alt imens danske, amerikanske og mange andre vestlige landes soldater udkæmper blodige slag lige på den anden side af den pakistansk-afghanske grænse for at holde selvsamme Taleban nede.
1-1	Alt	alt	D-:----:--:u---	
1-2	imens	imens	D-:----:--:u---	
1-3	danske	dansk	AC:p#u#:--:p---	
1-4	,	,	ZD	
1-5	amerikanske	amerikansk	AC:p#u#:--:p---	
1-6	og	og	CC:----:--:----	
1-7	mange	mangen	AC:p#u#:--:p---	
1-8	andre	anden	PI:p-u#:--:----	
1-9	vestlige	vestlig	AC:p#u#:--:p---	
1-10	landes	land	NC:pig#:--:----	
1-11	soldater	soldat	NC:piu#:--:----	
1-12	udkæmper	udkæmpe	VF:----:sa:----	
1-13	blodige	blodig	AC:p#u#:--:p---	
1-14	slag	slag	NC:piu#:--:----	
1-15	lige	lige	D-:----:--:u---	
1-16	på	på	T-:----:--:----	
1-17	den	den	PM:s-uc:--:----	
1-18	anden	to	LO:--uc:--:----	
1-19	side	side	NC:siuc:--:----	
1-20	af	af	T-:----:--:----	
1-21	den	den	PM:s-uc:--:----	
1-22	pakistansk	pakistansk	AW:----:--:----	
1-23	-	-	ZH	
1-24	afghanske	afghansk	AC:sdu#:--:p---	
1-25	grænse	grænse	NC:siuc:--:----	
1-26	for	for	T-:----:--:----	
1-27	at	at	UI:----:--:----	
1-28	holde	holde	VI:----:-a:----	
1-29	selvsamme	selvsamme	AC:§§u§:--:p---	
1-30	Taleban	Taleban	NP:siu#:--:----	
1-31	nede	nede	D-:----:--:u---	
1-32	.	.	ZP	

#id=2
#text=Slag:
2-1	Slag	slag	NC:siun:--:----	
2-2	:	:	ZP	

#id=3
#text= Og her formår Fupz med stor økonomi og præcision, og tilmed med en dosis karsk humor, at fremlægge dels aksen fortid-fremtid, dels de slag og brud, der skal slå hul på glasvæggen, gennem sine tolv kapitler.
3-1	Og	og	CC:----:--:----	
3-2	her	her	D-:----:--:u---	
3-3	formår	formå	VF:----:sa:----	
3-4	Fupz	Fupz	NP:siu#:--:----	
3-5	med	med	T-:----:--:----	
3-6	stor	stor	AC:siuc:--:p---	
3-7	økonomi	økonomi	NC:siuc:--:----	
3-8	og	og	CC:----:--:----	
3-9	præcision	præcision	NC:siuc:--:----	
3-10	,	,	ZD	
3-11	og	og	CC:----:--:----	
3-12	tilmed	tilmed	D-:----:--:u---	
3-13	med	med	T-:----:--:----	
3-14	en	en	PI:s-uc:--:----	
3-15	dosis	dosis	NC:siuc:--:----	
3-16	karsk	karsk	AC:siuc:--:p---	
3-17	humor	humor	-:----	
3-18	,	,	ZD	
3-19	at	at	UI:----:--:----	
3-20	fremlægge	fremlægge	VI:----:-a:----	
3-21	dels	dels	D-:----:--:u---	
3-22	aksen	akse	NC:sduc:--:----	
3-23	fortid	fortid	NW:----:--:----	
3-24	-	-	ZH	
3-25	fremtid	fremtid	NC:siuc:--:----	
3-26	,	,	ZD	
3-27	dels	dels	D-:----:--:u---	
3-28	de	den	PM:p-u#:--:----	
3-29	slag	slag	NC:piu#:--:----	
3-30	og	og	CC:----:--:----	
3-31	brud	brud	NC:piu#:--:----	
3-32	,	,	ZD	
3-33	der	der	US:----:--:----	
3-34	skal	skulle	VF:----:sa:----	
3-35	slå	slå	VI:----:-a:----	
3-36	hul	hul	AC:siuc:--:p---	
3-37	på	på	T-:----:--:----	
3-38	glasvæggen	glasvæg	NC:sduc:--:----	
3-39	,	,	ZD	
3-40	gennem	gennem	T-:----:--:----	
3-41	sine	sin	:-3ys	
3-42	tolv	tolv	LC:--u-:--:----	
3-43	kapitler	kapitel	NC:piu#:--:----	
3-44	.	.	ZP	

#id=4
#text=Udfordringen er, at det er netop er det, at fødderne rammer underlaget for hvert skridt og giver et slag til knoglerne, som dermed stimulerer dem til at gøre sig stærkere.
4-1	Udfordringen	udfordring	NC:sduc:--:----	
4-2	er	være	VF:----:sa:----	
4-3	,	,	ZD	
4-4	at	at	CS:----:--:----	
4-5	det	det	PP:s-un:--:-3n-	
4-6	er	være	VF:----:sa:----	
4-7	netop	netop	D-:----:--:u---	
4-8	er	være	VF:----:sa:----	
4-9	det	det	PP:s-un:--:-3n-	
4-10	,	,	ZD	
4-11	at	at	CS:----:--:----	
4-12	fødderne	fod	NC:pdu#:--:----	
4-13	rammer	ramme	VF:----:sa:----	
4-14	underlaget	underlag	NC:sdun:--:----	
4-15	for	for	T-:----:--:----	
4-16	hvert	hver	PI:s-un:--:----	
4-17	skridt	skridt	NC:siun:--:----	
4-18	og	og	CC:----:--:----	
4-19	giver	give	VF:----:sa:----	
4-20	et	en	PI:s-un:--:----	
4-21	slag	slag	NC:siun:--:----	
4-22	til	til	T-:----:--:----	
4-23	knoglerne	knogle	NC:pdu#:--:----	
4-24	,	,	ZD	
4-25	som	som	US:----:--:----	
4-26	dermed	dermed	D-:----:--:u---	
4-27	stimulerer	stimulere	VF:----:sa:----	
4-28	dem	de	PP:p-u#:--:-3n-	
4-29	til	til	T-:----:--:----	
4-30	at	at	UI:----:--:----	
4-31	gøre	gøre	VI:----:-a:----	
4-32	sig	sig	PP:#-u#:--:-3y-	
4-33	stærkere	stærk	AD:----:--:c---	
4-34	.	.	ZP	

#id=5
#text=Alligevel synes jeg nu godt, at de kunne slå et slag for sig selv.
5-1	Alligevel	alligevel	D-:----:--:u---	
5-2	synes	syne	VF:----:sp:----	
5-3	jeg	jeg	PP:s-nc:--:-1n-	
5-4	nu	nu	D-:----:--:u---	
5-5	godt	god	AD:----:--:p---	
5-6	,	,	ZD	
5-7	at	at	CS:----:--:----	
5-8	de	de	PP:p-n#:--:-3n-	
5-9	kunne	kunne	VF:----:ta:----	
5-10	slå	slå	VI:----:-a:----	
5-11	et	en	PI:s-un:--:----	
5-12	slag	slag	NC:siun:--:----	
5-13	for	for	T-:----:--:----	
5-14	sig	sig	PP:#-u#:--:-3y-	
5-15	selv	selv	PM:#-u#:--:----	
5-16	.	.	ZP	

#id=6
#text= I hvert fald i den varme, skarpe og særdeles underholdende film, der blev resultatet, da Dirty Harry gik på pension og som den vrantne Walt valgte at slå et - hårdt - slag for multikulturalisme og familieværdier.
6-1	I	i	T-:----:--:----	
6-2	hvert	hver	PI:s-un:--:----	
6-3	fald	fald	NC:siun:--:----	
6-4	i	i	T-:----:--:----	
6-5	den	den	PM:s-uc:--:----	
6-6	varme	varme	NC:siuc:--:----	
6-7	,	,	ZD	
6-8	skarpe	skarp	AC:p#u#:--:p---	
6-9	og	og	CC:----:--:----	
6-10	særdeles	særdeles	D-:----:--:u---	
6-11	underholdende	underholde	VP:##u#:s-:----	
6-12	film	film	NC:piu#:--:----	
6-13	,	,	ZD	
6-14	der	der	US:----:--:----	
6-15	blev	blive	VF:----:ta:----	
6-16	resultatet	resultat	NC:sdun:--:----	
6-17	,	,	ZD	
6-18	da	da	CS:----:--:----	
6-19	Dirty	Dirty	NP:siu#:--:----	
6-20	Harry	Harry	NP:siu#:--:----	
6-21	gik	gå	VF:----:ta:----	
6-22	på	på	T-:----:--:----	
6-23	pension	pension	NC:siuc:--:----	
6-24	og	og	CC:----:--:----	
6-25	som	som	US:----:--:----	
6-26	den	den	PM:s-uc:--:----	
6-27	vrantne	vranten	AC:sdu#:--:p---	
6-28	Walt	Walt	NP:siu#:--:----	
6-29	valgte	vælge	VF:----:ta:----	
6-30	at	at	CS:----:--:----	
6-31	slå	slå	VM:----:--:----	
6-32	et	et	LW:----:--:----	
6-33	-	-	ZH	
6-34	hårdt	hård	AW:----:--:----	
6-35	-	-	ZH	
