 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Det var tilladt at slå fangerne i ansigtet eller maven.
1-1	Det	det	PP:s-un:--:-3n-	
1-2	var	være	VF:----:ta:----	
1-3	tilladt	tillade	VT:siu#:t-:----	
1-4	at	at	UI:----:--:----	
1-5	slå	slå	VI:----:-a:----	
1-6	fangerne	fange	NC:pdu#:--:----	
1-7	i	i	T-:----:--:----	
1-8	ansigtet	ansigt	NC:sdun:--:----	
1-9	eller	eller	CC:----:--:----	
1-10	maven	mave	NC:sduc:--:----	
1-11	.	.	ZP	

#id=2
#text= Derefter dækkes ansigtet med et vådt stykke stof, og der hældes vand over hovedet.
2-1	Derefter	derefter	D-:----:--:u---	
2-2	dækkes	dække	VF:----:sp:----	
2-3	ansigtet	ansigt	NC:sdun:--:----	
2-4	med	med	T-:----:--:----	
2-5	et	en	PI:s-un:--:----	
2-6	vådt	våd	AC:siun:--:p---	
2-7	stykke	stykke	NC:siun:--:----	
2-8	stof	stof	NC:siun:--:----	
2-9	,	,	ZD	
2-10	og	og	CC:----:--:----	
2-11	der	der	US:----:--:----	
2-12	hældes	hælde	VF:----:sp:----	
2-13	vand	vand	NC:siun:--:----	
2-14	over	over	T-:----:--:----	
2-15	hovedet	hoved	NC:sdun:--:----	
2-16	.	.	ZP	

#id=3
#text= "En klud lægges over fangens ansigt, hvorpå der hældes koldt vand i højst 40 sekunder.
3-1	"	"	ZI	
3-2	En	en	PI:s-uc:--:----	
3-3	klud	klud	NC:siuc:--:----	
3-4	lægges	lægge	VF:----:sp:----	
3-5	over	over	T-:----:--:----	
3-6	fangens	fange	NC:sdgc:--:----	
3-7	ansigt	ansigt	NC:siun:--:----	
3-8	,	,	ZD	
3-9	hvorpå	hvorpå	D-:----:--:u---	
3-10	der	der	US:----:--:----	
3-11	hældes	hælde	VI:----:-p:----	
3-12	koldt	kold	AC:siun:--:p---	
3-13	vand	vand	NC:siun:--:----	
3-14	i	i	T-:----:--:----	
3-15	højst	højst	D-:----:--:u---	
3-16	40	40	LC:--u-:--:----	
3-17	sekunder	sekund	NC:piu#:--:----	
3-18	.	.	ZP	

#id=4
#text= "Forhørslederen slår fangen i ansigtet med let spredte fingre.
4-1	"	"	ZI	
4-2	Forhørslederen	forhørsleder	NC:sduc:--:----	
4-3	slår	slå	VF:----:sa:----	
4-4	fangen	fange	NC:sduc:--:----	
4-5	i	i	T-:----:--:----	
4-6	ansigtet	ansigt	NC:sdun:--:----	
4-7	med	med	T-:----:--:----	
4-8	let	let	AD:----:--:p---	
4-9	spredte	sprede	VP:p#u#:t-:----	
4-10	fingre	finger	NC:piu#:--:----	
4-11	.	.	ZP	

#id=5
#text= Da hun med fokuseret mørk kerneklang havde sunget sig gennem Richard Strauss' ' Vier letzte Lieder' til akkompagnement af den tyske dirigent Christoph Poppen og DR SymfoniOrkestret, vendte hun sig om - og gentog den tredje af sangene med ansigtet vendt mod den del af publikum, der sad på de billige pladser bag orkestret.
5-1	Da	da	CS:----:--:----	
5-2	hun	hun	PP:s-nc:--:-3n-	
5-3	med	med	D-:----:--:u---	
5-4	fokuseret	fokusere	VT:siu#:t-:----	
5-5	mørk	mørk	AC:siuc:--:p---	
5-6	kerneklang	kerneklang	NC:siuc:--:----	
5-7	havde	have	VF:----:ta:----	
5-8	sunget	synge	VT:siu#:t-:----	
5-9	sig	sig	PP:#-u#:--:-3y-	
5-10	gennem	gennem	T-:----:--:----	
5-11	Richard	Richard	NP:siu#:--:----	
5-12	Strauss	Strauss	NP:siu#:--:----	
5-13	'	'	XY:----:--:----	
5-14	'	'	ZA	
5-15	Vier	vie	VF:----:sa:----	
5-16	letzte	letzte	VI:----:-a:----	
5-17	Lieder	lied	NW:----:--:----	
5-18	'	'	ZA	
5-19	til	til	T-:----:--:----	
