 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men under to timer efter jeg var connected med min kollega, kom hun og fortalte, at hun lige havde fået en henvendelse fra en af mine andre LinkedIn-kontakter.
1-1	Men	men	CC:----:--:----	
1-2	under	under	T-:----:--:----	
1-3	to	to	LC:--u-:--:----	
1-4	timer	time	NC:piu#:--:----	
1-5	efter	efter	CS:----:--:----	
1-6	jeg	jeg	PP:s-nc:--:-1n-	
1-7	var	være	VF:----:ta:----	
1-8	connected	connectED	NC:siuc:--:----	
1-9	med	med	T-:----:--:----	
1-10	min	min	PO:s--c:--:-1ns	
1-11	kollega	kollega	NC:siuc:--:----	
1-12	,	,	ZD	
1-13	kom	komme	VF:----:ta:----	
1-14	hun	hun	PP:s-nc:--:-3n-	
1-15	og	og	CC:----:--:----	
1-16	fortalte	fortale	VF:----:ta:----	
1-17	,	,	ZD	
1-18	at	at	CS:----:--:----	
1-19	hun	hun	PP:s-nc:--:-3n-	
1-20	lige	lige	D-:----:--:u---	
1-21	havde	have	VF:----:ta:----	
1-22	fået	få	VT:siu#:t-:----	
1-23	en	en	PI:s-uc:--:----	
1-24	henvendelse	henvendelse	NC:siuc:--:----	
1-25	fra	fra	T-:----:--:----	
1-26	en	en	PI:s-uc:--:----	
1-27	af	af	T-:----:--:----	
1-28	mine	mine	NC:siuc:--:----	
1-29	andre	anden	PI:p-u#:--:----	
1-30	LinkedIn	LinkedIn	NP:siu#:--:----	
1-31	-	-	ZH	
1-32	kontakter	kontakt	NC:piu#:--:----	
1-33	.	.	ZP	

#id=2
#text=Kontaktener meget perifær, en person, jeg få gange har mødt i et netværk af freelancere og selvstændige, jeg tidligere har deltaget i.
2-1	Kontakten	kontakt	NC:sduc:--:----	
2-2	er	være	VF:----:sa:----	
2-3	meget	megen	AC:siu§:--:p---	
2-4	perifær	perifær	NC:siuc:--:----	
2-5	,	,	ZD	
2-6	en	en	PI:s-uc:--:----	
2-7	person	person	NC:siuc:--:----	
2-8	,	,	ZD	
2-9	jeg	jeg	PP:s-nc:--:-1n-	
2-10	få	få	VI:----:-a:----	
2-11	gange	gang	NC:piu#:--:----	
2-12	har	have	VF:----:sa:----	
2-13	mødt	møde	VT:siu#:t-:----	
2-14	i	i	T-:----:--:----	
2-15	et	en	PI:s-un:--:----	
2-16	netværk	netværk	NC:siun:--:----	
2-17	af	af	T-:----:--:----	
2-18	freelancere	freelancer	NC:piu#:--:----	
2-19	og	og	CC:----:--:----	
2-20	selvstændige	selvstændig	AC:p#u#:--:p---	
2-21	,	,	ZD	
2-22	jeg	jeg	NC:siun:--:----	
2-23	tidligere	tidlig	AD:----:--:c---	
2-24	har	have	VF:----:sa:----	
2-25	deltaget	deltage	VT:siu#:t-:----	
2-26	i	i	T-:----:--:----	
2-27	.	.	ZP	

#id=3
#text=Derforvar Kontakts udsendelse på DR1 i går også rigtig vand på min mølle.
3-1	Derfor	derfor	D-:----:--:u---	
3-2	var	være	VF:----:ta:----	
3-3	Kontakts	kontakt	NW:----:--:----	
3-4	udsendelse	udsendelse	NC:siuc:--:----	
3-5	på	på	T-:----:--:----	
3-6	DR1	DR1	NP:siu#:--:----	
3-7	i	i	T-:----:--:----	
3-8	går	går	NC:§§u§:--:----	
3-9	også	også	D-:----:--:u---	
3-10	rigtig	rigtig	AC:siuc:--:p---	
3-11	vand	vand	NC:siun:--:----	
3-12	på	på	T-:----:--:----	
3-13	min	min	PO:s--c:--:-1ns	
3-14	mølle	mølle	NC:siuc:--:----	
3-15	.	.	ZP	

#id=4
#text=Foret stykke tid siden fik jeg en invitation fra en eks-nabo, som jeg ingen kontakt har med (ej heller noget tilfælles).
4-1	For	for	T-:----:--:----	
4-2	et	en	PI:s-un:--:----	
4-3	stykke	stykke	NC:siun:--:----	
4-4	tid	tid	NC:siuc:--:----	
4-5	siden	siden	D-:----:--:u---	
4-6	fik	få	VF:----:ta:----	
4-7	jeg	jeg	PP:s-nc:--:-1n-	
4-8	en	en	PI:s-uc:--:----	
4-9	invitation	invitation	NC:siuc:--:----	
4-10	fra	fra	T-:----:--:----	
4-11	en	en	PI:s-uc:--:----	
4-12	eks	eks	EW:----:--:----	
4-13	-	-	ZH	
4-14	nabo	nabo	NC:siuc:--:----	
4-15	,	,	ZD	
4-16	som	som	US:----:--:----	
4-17	jeg	jeg	PP:s-nc:--:-1n-	
4-18	ingen	ingen	PI:s-uc:--:----	
4-19	kontakt	kontakt	NC:siuc:--:----	
4-20	har	have	VF:----:sa:----	
4-21	med	med	T-:----:--:----	
4-22	(	(	ZD	
4-23	ej	ej	D-:----:--:u---	
4-24	heller	heller	D-:----:--:u---	
4-25	noget	nogen	PI:s-un:--:----	
4-26	tilfælles	tilfælles	D-:----:--:u---	
4-27	)	)	ZD	
4-28	.	.	ZP	

#id=5
#text=Og sne bliver grå, grim og grumset, så snart den kommer i kontakt med salt og befærdede veje.
5-1	Og	og	CC:----:--:----	
5-2	sne	sne	NC:siuc:--:----	
5-3	bliver	blive	VF:----:sa:----	
5-4	grå	grå	AC:siuc:--:p---	
5-5	,	,	ZD	
5-6	grim	grim	AC:siuc:--:p---	
5-7	og	og	CC:----:--:----	
5-8	grumset	grumset	AC:siu§:--:p---	
5-9	,	,	ZD	
5-10	så	så	D-:----:--:u---	
5-11	snart	snart	D-:----:--:u---	
5-12	den	den	PP:s-uc:--:-3n-	
5-13	kommer	komme	VF:----:sa:----	
5-14	i	i	T-:----:--:----	
5-15	kontakt	kontakt	NC:siuc:--:----	
5-16	med	med	T-:----:--:----	
5-17	salt	salt	NC:siun:--:----	
5-18	og	og	CC:----:--:----	
5-19	befærdede	befærdet	AC:p#u#:--:p---	
5-20	veje	vej	NC:piu#:--:----	
5-21	.	.	ZP	

#id=6
#text=Vel har jeg et godt og solidt netværk, som jeg plejer med omhu, men det bliver aldrig det samme som den daglige kontakt og sparring med kollegaer.
6-1	Vel	vel	D-:----:--:u---	
6-2	har	have	VF:----:sa:----	
6-3	jeg	jeg	PP:s-nc:--:-1n-	
6-4	et	en	PI:s-un:--:----	
6-5	godt	god	AC:siun:--:p---	
6-6	og	og	CC:----:--:----	
6-7	solidt	solid	AC:siun:--:p---	
6-8	netværk	netværk	NC:siun:--:----	
6-9	,	,	ZD	
6-10	som	som	US:----:--:----	
6-11	jeg	jeg	PP:s-nc:--:-1n-	
6-12	plejer	pleje	VF:----:sa:----	
6-13	med	med	T-:----:--:----	
6-14	omhu	omhu	NC:siuc:--:----	
6-15	,	,	ZD	
6-16	men	men	CC:----:--:----	
6-17	det	det	PP:s-un:--:-3n-	
6-18	bliver	blive	VF:----:sa:----	
6-19	aldrig	aldrig	D-:----:--:u---	
6-20	det	den	PM:s-un:--:----	
6-21	samme	samme	AC:§§u§:--:p---	
6-22	som	som	US:----:--:----	
6-23	den	den	PM:s-uc:--:----	
6-24	daglige	daglig	AC:sdu#:--:p---	
6-25	kontakt	kontakt	NC:siuc:--:----	
6-26	og	og	CC:----:--:----	
6-27	sparring	sparring	NC:siuc:--:----	
6-28	med	med	T-:----:--:----	
6-29	kollegaer	kollegaer	NC:piu#:--:----	
6-30	.	.	ZP	

#id=7
#text=Derfor har jeg også svært ved at finde en grimasse, der kan passe, når mennesker fx detaljeret fortæller mig om deres tidligere inkarnationer, at de har genoplevet deres egen fødsel gennem natalterapi, eller at clairvoyanter har hjulpet dem i kontakt med afdøde.
7-1	Derfor	derfor	D-:----:--:u---	
7-2	har	have	VF:----:sa:----	
7-3	jeg	jeg	PP:s-nc:--:-1n-	
7-4	også	også	D-:----:--:u---	
7-5	svært	svær	AD:----:--:p---	
7-6	ved	ved	T-:----:--:----	
7-7	at	at	UI:----:--:----	
7-8	finde	finde	VI:----:-a:----	
7-9	en	en	PI:s-uc:--:----	
7-10	grimasse	grimasse	NC:siuc:--:----	
7-11	,	,	ZD	
7-12	der	der	US:----:--:----	
7-13	kan	kunne	VF:----:sa:----	
7-14	passe	passe	VI:----:-a:----	
7-15	,	,	ZD	
7-16	når	når	CS:----:--:----	
7-17	mennesker	menneske	NC:piu#:--:----	
7-18	fx	fx	D-:----:--:u---	
7-19	detaljeret	detaljeret	AD:----:--:p---	
7-20	fortæller	fortælle	VF:----:sa:----	
7-21	mig	jeg	PP:s-uc:--:-1#-	
7-22	om	om	T-:----:--:----	
7-23	deres	deres	XY:----:--:----	
7-24	tidligere	tidlig	AC:##u#:--:c---	
7-25	inkarnationer	inkarnation	NC:piu#:--:----	
7-26	,	,	ZD	
7-27	at	at	CS:----:--:----	
7-28	de	de	PP:p-n#:--:-3n-	
7-29	har	have	VF:----:sa:----	
7-30	genoplevet	genopleve	VT:siu#:t-:----	
7-31	deres	deres	PO:#--#:--:-3np	
7-32	egen	egen	AC:s§uc:--:p---	
7-33	fødsel	fødsel	NC:siuc:--:----	
7-34	gennem	gennem	T-:----:--:----	
7-35	natalterapi	natalterapi	NC:siuc:--:----	
7-36	,	,	ZD	
7-37	eller	eller	CC:----:--:----	
7-38	at	at	CS:----:--:----	
7-39	clairvoyanter	clairvoyante	VF:----:sa:----	
