 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Nårder er plads til massive lempelser af finanspolitikken i disse år, skyldes det, at regeringen har afdraget på den offentlige gæld i de gode tider.
1-1	Når	når	CS:----:--:----	
1-2	der	der	US:----:--:----	
1-3	er	være	VF:----:sa:----	
1-4	plads	plads|plads-1|plads-2-2a|plads-1a|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	
1-5	til	til	T-:----:--:----	
1-6	massive	massiv	AC:p#u#:--:p---	
1-7	lempelser	lempelse	NC:piu#:--:----	
1-8	af	af	T-:----:--:----	
1-9	finanspolitikken	finanspolitik	----	
1-10	i	i	T-:----:--:----	
1-11	disse	denne	PM:p-u#:--:----	
1-12	år	år	NC:piu#:--:----	
1-13	,	,	ZD	
1-14	skyldes	skylde	VF:----:sp:----	
1-15	det	det	PP:s-un:--:-3n-	
1-16	,	,	ZD	
1-17	at	at	CS:----:--:----	
1-18	regeringen	regering	NC:sduc:--:----	
1-19	har	have	VF:----:sa:----	
1-20	afdraget	afdrage	VT:siu#:t-:----	
1-21	på	på	T-:----:--:----	
1-22	den	den	PM:s-uc:--:----	
1-23	offentlige	offentlig	AC:sdu#:--:p---	
1-24	gæld	gæld	NC:siuc:--:----	
1-25	i	i	T-:----:--:----	
1-26	de	den	PM:p-u#:--:----	
1-27	gode	god	AC:p#u#:--:p---	
1-28	tider	tid	NC:piu#:--:----	
1-29	.	.	ZP	

#id=2
#text=Hvis alle medlemmerne er på pladserne og gruppeformændene har styr på grupperne, og det ser det ud til, så starter vi med § 6, og det er udenrigsministeriet.
2-1	Hvis	hvis	CS:----:--:----	
2-2	alle	al	PI:p-u#:--:----	
2-3	medlemmerne	medlem	NC:pdu#:--:----	
2-4	er	være	VF:----:sa:----	
2-5	på	på	T-:----:--:----	
2-6	pladserne	plads|plads-2b-2c|plads-2-2a|plads-1a|plads-1|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a	NC:pdu#:--:----	
2-7	og	og	CC:----:--:----	
2-8	gruppeformændene	gruppeformændene	NC:pdu#:--:----	
2-9	har	have	VF:----:sa:----	
2-10	styr	styr	NC:siun:--:----	
2-11	på	på	T-:----:--:----	
2-12	grupperne	gruppe	NC:pdu#:--:----	
2-13	,	,	ZD	
2-14	og	og	CC:----:--:----	
2-15	det	det	PP:s-un:--:-3n-	
2-16	ser	se	VF:----:sa:----	
2-17	det	det	PP:s-un:--:-3n-	
2-18	ud	ud	D-:----:--:u---	
2-19	til	til	T-:----:--:----	
2-20	,	,	ZD	
2-21	så	så	D-:----:--:u---	
2-22	starter	starte	VF:----:sa:----	
2-23	vi	VI	LC:--u-:--:----	
2-24	med	medicinae	XF:----:--:----	
2-25	§	§	XS:----:--:----	
2-26	6	6	LC:--u-:--:----	
2-27	,	,	ZD	
2-28	og	og	CC:----:--:----	
2-29	det	det	PP:s-un:--:-3n-	
2-30	er	være	VF:----:sa:----	
2-31	udenrigsministeriet	udenrigsministerium	NC:sdun:--:----	
2-32	.	.	ZP	

#id=3
#text=Jegbeder om, at man bliver siddende på pladserne, til vi er færdige med afstemningen.
3-1	Jeg	jeg	PP:s-nc:--:-1n-	
