 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Der skal være plads til ecchi!
1-1	Der	der	US:----:--:----	O	
1-2	skal	skulle	VF:----:sa:----	O	
1-3	være	være	VI:----:-a:----	O	
1-4	plads	_	NC:siuc:--:----	B-plads-1a	
1-5	til	til	T-:----:--:----	O	
1-6	ecchi	ecchi	NC:siun:--:----	O	
1-7	!	!	ZP	O	

#id=2
#text= Det kan være svært at finde den, da nogle butikker faktisk vælger nogle af egmonts mangaer fra, og kun gør plads til Carlsens (aftalt spil?), heriblandt den ene af tog Bog og Ide i Viborg.
2-1	Det	_	_	O	
2-2	kan	_	_	O	
2-3	være	_	_	O	
2-4	svært	_	_	O	
2-5	at	_	_	O	
2-6	finde	_	_	O	
2-7	den	_	_	O	
2-8	,	_	_	O	
2-9	da	_	_	O	
2-10	nogle	_	_	O	
2-11	butikker	_	_	O	
2-12	faktisk	_	_	O	
2-13	vælger	_	_	O	
2-14	nogle	_	_	O	
2-15	af	_	_	O	
2-16	egmonts	_	_	O	
2-17	mangaer	_	_	O	
2-18	fra	_	_	O	
2-19	,	_	_	O	
2-20	og	_	_	O	
2-21	kun	_	_	O	
2-22	gør	_	_	O	
2-23	plads	_	_	O	
2-24	til	_	_	O	
2-25	Carlsens	_	_	O	
2-26	(	_	_	O	
2-27	aftalt	_	_	O	
2-28	spil	_	_	O	
2-29	?	_	_	O	
2-30	)	_	ZD	O	
2-31	,	_	_	O	
2-32	heriblandt	_	_	O	
2-33	den	_	_	O	
2-34	ene	_	_	O	
2-35	af	_	_	O	
2-36	tog	_	_	O	
2-37	Bog	_	_	O	
2-38	og	_	_	O	
2-39	Ide	_	_	O	
2-40	i	_	_	O	
2-41	Viborg	_	_	O	
2-42	.	_	_	O	

#id=3
#text=Sikkert fordi at den er linket fra 4chan.,...og næste gang der er en der poster et billede bliver alle de andre billeder rykket en plads ned og derfor bliver linket anderledes...Tror jeg :?
3-1	Sikkert	_	_	O	
3-2	fordi	_	_	O	
3-3	at	_	_	O	
3-4	den	_	_	O	
3-5	er	_	_	O	
3-6	linket	_	_	O	
3-7	fra	_	_	O	
3-8	4chan	_	_	O	
3-9	.	.	ZP	O	
3-10	,	_	_	O	
3-11	.	.	ZP	O	
3-12	.	_	_	O	
3-13	.	_	_	O	
3-14	og	_	_	O	
3-15	næste	_	_	O	
3-16	gang	_	_	O	
3-17	der	_	_	O	
3-18	er	_	_	O	
3-19	en	_	_	O	
3-20	der	_	_	O	
3-21	poster	_	_	O	
3-22	et	_	_	O	
3-23	billede	_	_	O	
3-24	bliver	_	_	O	
3-25	alle	_	_	O	
3-26	de	_	_	O	
3-27	andre	_	_	O	
3-28	billeder	_	_	O	
3-29	rykket	_	_	O	
3-30	en	_	_	O	
3-31	plads	_	_	O	
3-32	ned	_	_	O	
3-33	og	_	_	O	
3-34	derfor	_	_	O	
3-35	bliver	_	_	O	
3-36	linket	_	_	O	
3-37	anderledes	_	_	O	
3-38	.	.	ZP	O	
3-39	.	_	_	O	
3-40	.	_	_	O	
3-41	Tror	_	_	O	
3-42	jeg	_	_	O	
3-43	:	_	_	O	
3-44	?	_	_	O	

#id=4
#text= Håber der er plads, og at det ik' er for sent. :D
4-1	Håber	_	_	O	
4-2	der	_	_	O	
4-3	er	_	_	O	
4-4	plads	_	_	O	
4-5	,	_	_	O	
4-6	og	_	_	O	
4-7	at	_	_	O	
4-8	det	_	_	O	
4-9	ik	_	_	O	
4-10	'	_	_	O	
4-11	er	_	_	O	
4-12	for	_	_	O	
4-13	sent	_	_	O	
4-14	.	_	_	O	
4-15	:	_	_	O	
4-16	D	_	_	O	

#id=5
#text= Der er vel også plads til de uvidende i verden :lol:
5-1	Der	_	_	O	
5-2	er	_	_	O	
5-3	vel	_	_	O	
5-4	også	_	_	O	
5-5	plads	_	_	O	
5-6	til	_	_	O	
5-7	de	_	_	O	
5-8	uvidende	_	_	O	
5-9	i	_	_	O	
5-10	verden	_	_	O	
5-11	:	:	ZP	O	
5-12	lol	_	_	O	
5-13	:	_	_	O	

#id=6
#text=Så er det på plads hvordan det hele kommer til at spinde af i forbindelse med de tre år og sådan.
6-1	Så	_	_	O	
6-2	er	_	_	O	
6-3	det	_	_	O	
6-4	på	_	_	O	
6-5	plads	_	_	O	
6-6	hvordan	_	_	O	
6-7	det	_	_	O	
6-8	hele	_	_	O	
6-9	kommer	_	_	O	
6-10	til	_	_	O	
6-11	at	_	_	O	
6-12	spinde	_	_	O	
6-13	af	_	_	O	
6-14	i	_	_	O	
6-15	forbindelse	_	_	O	
6-16	med	_	_	O	
6-17	de	_	_	O	
6-18	tre	_	_	O	
6-19	år	_	_	O	
6-20	og	_	_	O	
6-21	sådan	_	_	O	
6-22	.	_	_	O	

#id=7
#text= Og har alt for lidt plads til at udstille det vi vil... men vi er der, og I skal bare komme forbi, for pladsmangel til trods, så er vi der med højt humør!
7-1	Og	_	_	O	
7-2	har	_	_	O	
7-3	alt	_	_	O	
7-4	for	_	_	O	
7-5	lidt	_	_	O	
7-6	plads	_	_	O	
7-7	til	_	_	O	
7-8	at	_	_	O	
7-9	udstille	_	_	O	
7-10	det	_	_	O	
7-11	vi	_	_	O	
7-12	vil	_	_	O	
7-13	.	_	_	O	
7-14	.	_	_	O	
7-15	.	_	_	O	
7-16	men	_	_	O	
7-17	vi	_	_	O	
7-18	er	_	_	O	
7-19	der	_	_	O	
7-20	,	_	_	O	
7-21	og	_	_	O	
7-22	I	_	_	O	
7-23	skal	_	_	O	
7-24	bare	_	_	O	
7-25	komme	_	_	O	
7-26	forbi	_	_	O	
7-27	,	_	_	O	
7-28	for	_	_	O	
7-29	pladsmangel	_	_	O	
7-30	til	_	_	O	
7-31	trods	_	_	O	
7-32	,	_	_	O	
7-33	så	_	_	O	
7-34	er	_	_	O	
7-35	vi	_	_	O	
7-36	der	_	_	O	
7-37	med	_	_	O	
7-38	højt	_	_	O	
7-39	humør	_	_	O	
7-40	!	_	_	O	

#id=8
#text= Næh, nej, vi kender skam godt til Mahou sensei Negima, men vi havde den ikke med på festivallen, da vi simpelthen ikke havde fået plads nok stillet til rådighed af arrangørerne.
8-1	Næh	_	_	O	
8-2	,	_	_	O	
8-3	nej	_	_	O	
8-4	,	_	_	O	
8-5	vi	_	_	O	
8-6	kender	_	_	O	
8-7	skam	_	_	O	
8-8	godt	_	_	O	
8-9	til	_	_	O	
8-10	Mahou	_	_	O	
8-11	sensei	_	_	O	
8-12	Negima	_	_	O	
8-13	,	_	_	O	
8-14	men	_	_	O	
8-15	vi	_	_	O	
8-16	havde	_	_	O	
8-17	den	_	_	O	
8-18	ikke	_	_	O	
8-19	med	_	_	O	
8-20	på	_	_	O	
8-21	festivallen	_	_	O	
8-22	,	_	_	O	
8-23	da	_	_	O	
8-24	vi	_	_	O	
8-25	simpelthen	_	_	O	
8-26	ikke	_	_	O	
8-27	havde	_	_	O	
8-28	fået	_	_	O	
8-29	plads	_	_	O	
8-30	nok	_	_	O	
8-31	stillet	_	_	O	
8-32	til	_	_	O	
8-33	rådighed	_	_	O	
8-34	af	_	_	O	
8-35	arrangørerne	_	_	O	
8-36	.	_	_	O	

#id=9
#text= Der er ikke meget information om den endu, og navnet er hvist heller ikke helt sat på plads.
9-1	Der	_	_	O	
9-2	er	_	_	O	
9-3	ikke	_	_	O	
9-4	meget	_	_	O	
9-5	information	_	_	O	
9-6	om	_	_	O	
9-7	den	_	_	O	
9-8	endu	_	_	O	
9-9	,	_	_	O	
9-10	og	_	_	O	
9-11	navnet	_	_	O	
9-12	er	_	_	O	
9-13	hvist	_	_	O	
9-14	heller	_	_	O	
9-15	ikke	_	_	O	
9-16	helt	_	_	O	
9-17	sat	_	_	O	
9-18	på	_	_	O	
9-19	plads	_	_	O	
9-20	.	_	_	O	

#id=10
#text= Jeg tror det er fire svar eller noget siden i denne her tråd at det blev diskuteret om der skal være plads til os alle sammen.
10-1	Jeg	_	_	O	
10-2	tror	_	_	O	
10-3	det	_	_	O	
10-4	er	_	_	O	
10-5	fire	_	_	O	
10-6	svar	_	_	O	
