 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Denne gang blev bolden spillet frem mod Bjørn Runström, der fik tid og plads af AaB-forsvareren  til at spille bolden videre til Espen Ruud, som kunne vippe bolden ind i feltet, hvor en fremstormende Hans Henrik Andreasen nikkede bolden sikkert i mål, også denne aktion for anden kamp i træk.
1-1	Denne	denne	PM:s-uc:--:----	O	
1-2	gang	gang	NC:siuc:--:----	O	
1-3	blev	blive	VF:----:ta:----	O	
1-4	bolden	bold	NC:sduc:--:----	O	
1-5	spillet	spille	VT:siu#:t-:----	O	
1-6	frem	frem	D-:----:--:u---	O	
1-7	mod	mod	T-:----:--:----	O	
1-8	Bjørn	Bjørn	NP:siu#:--:----	O	
1-9	Runström	Runström	NP:siu#:--:----	O	
1-10	,	,	ZD	O	
1-11	der	der	US:----:--:----	O	
1-12	fik	få	VF:----:ta:----	O	
1-13	tid	tid	NC:siuc:--:----	O	
1-14	og	og	CC:----:--:----	O	
1-15	plads	_	NC:siuc:--:----	B-plads-1	
1-16	af	af	T-:----:--:----	O	
1-17	AaB	AaB	NW:----:--:----	O	
1-18	-	-	ZH	O	
1-19	forsvareren	forsvarer	NC:sduc:--:----	O	
1-20	til	til	T-:----:--:----	O	
1-21	at	at	UI:----:--:----	O	
1-22	spille	spille	VI:----:-a:----	O	
1-23	bolden	bold	NC:sduc:--:----	O	
1-24	videre	videre	D-:----:--:u---	O	
1-25	til	til	T-:----:--:----	O	
1-26	Espen	Espen	NC:sduc:--:----	O	
1-27	Ruud	Ruud	NP:siu#:--:----	O	
1-28	,	,	ZD	O	
1-29	som	som	US:----:--:----	O	
1-30	kunne	kunne	VF:----:ta:----	O	
1-31	vippe	vippe	VI:----:-a:----	O	
1-32	bolden	bold	NC:sduc:--:----	O	
1-33	ind	ind	D-:----:--:u---	O	
1-34	i	i	T-:----:--:----	O	
1-35	feltet	felt	NC:sdun:--:----	O	
1-36	,	,	ZD	O	
1-37	hvor	hvor	D-:----:--:u---	O	
1-38	en	en	PI:s-uc:--:----	O	
1-39	fremstormende	fremstorme	VP:##u#:s-:----	O	
1-40	Hans	Hans	NP:siu#:--:----	O	
1-41	Henrik	Henrik	NP:siu#:--:----	O	
1-42	Andreasen	Andreasen	NP:siu#:--:----	O	
1-43	nikkede	nikke	VF:----:ta:----	O	
1-44	bolden	bold	NC:sduc:--:----	O	
1-45	sikkert	sikker	AD:----:--:p---	O	
1-46	i	i	T-:----:--:----	O	
1-47	mål	mål	NC:siun:--:----	O	
1-48	,	,	ZD	O	
1-49	også	også	D-:----:--:u---	O	
1-50	denne	denne	PM:s-uc:--:----	O	
1-51	aktion	aktion	NC:siuc:--:----	O	
1-52	for	for	T-:----:--:----	O	
1-53	anden	anden	PI:s-uc:--:----	O	
1-54	kamp	kamp	NC:siuc:--:----	O	
1-55	i	i	T-:----:--:----	O	
1-56	træk	træk	NC:siuc:--:----	O	
1-57	.	.	ZP	O	

#id=2
#text= Efter et point i de seneste tre kampe rykkede AC Horsens med sejren over Vejle og dermed på den rigtige side af nedrykningsstregen, og Vejle skal vinde over FC København i Parken i morgen for at tilbageerobre 10.-pladsen.
2-1	Efter	_	_	O	
2-2	et	_	_	O	
2-3	point	_	_	O	
2-4	i	_	_	O	
2-5	de	_	_	O	
2-6	seneste	_	_	O	
2-7	tre	_	_	O	
2-8	kampe	_	_	O	
2-9	rykkede	_	_	O	
2-10	AC	_	_	O	
2-11	Horsens	_	_	O	
2-12	med	_	_	O	
2-13	sejren	_	_	O	
2-14	over	_	_	O	
2-15	Vejle	_	_	O	
2-16	og	_	_	O	
2-17	dermed	_	_	O	
2-18	på	_	_	O	
2-19	den	_	_	O	
2-20	rigtige	_	_	O	
2-21	side	_	_	O	
2-22	af	_	_	O	
2-23	nedrykningsstregen	_	_	O	
2-24	,	_	_	O	
2-25	og	_	_	O	
2-26	Vejle	_	_	O	
2-27	skal	_	_	O	
2-28	vinde	_	_	O	
2-29	over	_	_	O	
2-30	FC	_	_	O	
2-31	København	_	_	O	
2-32	i	_	_	O	
2-33	Parken	_	_	O	
2-34	i	_	_	O	
2-35	morgen	_	_	O	
2-36	for	_	_	O	
2-37	at	_	_	O	
2-38	tilbageerobre	_	_	O	
2-39	10	_	_	O	
2-40	.	_	_	O	
2-41	-	_	_	O	
2-42	pladsen	_	_	O	
2-43	.	_	_	O	

#id=3
#text= Pokalsuccesen har løftet Nordvest FCspillerne og kan bære dem videre mod sæsonens største mål, og nej, det er ikke en plads i pokalfinalen.
3-1	Pokalsuccesen	_	_	O	
3-2	har	_	_	O	
3-3	løftet	_	_	O	
3-4	Nordvest	_	_	O	
3-5	FCspillerne	_	_	O	
3-6	og	_	_	O	
3-7	kan	_	_	O	
3-8	bære	_	_	O	
3-9	dem	_	_	O	
3-10	videre	_	_	O	
3-11	mod	_	_	O	
3-12	sæsonens	_	_	O	
3-13	største	_	_	O	
3-14	mål	_	_	O	
3-15	,	_	_	O	
3-16	og	_	_	O	
3-17	nej	_	_	O	
3-18	,	_	_	O	
3-19	det	_	_	O	
3-20	er	_	_	O	
