 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Blir' tit' luftet ud, støvsuger 2 gange om måneden og stiller skam også ting på plads :D Det var bare en overdrivelses-joke (en af dem som ik' er sjove) ;)
1-1	Blir	blive	VF:----:sa:----	O	
1-2	'	'	ZA	O	
1-3	tit	tit	D-:----:--:u---	O	
1-4	'	'	XY:----:--:----	O	
1-5	luftet	lufte	VT:siu#:t-:----	O	
1-6	ud	ud	D-:----:--:u---	O	
1-7	,	,	ZD	O	
1-8	støvsuger	støvsuge	VF:----:sa:----	O	
1-9	2	2	LC:--u-:--:----	O	
1-10	gange	gang	NC:piu#:--:----	O	
1-11	om	om	T-:----:--:----	O	
1-12	måneden	måned	NC:sduc:--:----	O	
1-13	og	og	CC:----:--:----	O	
1-14	stiller	stille	VF:----:sa:----	O	
1-15	skam	skam	D-:----:--:u---	O	
1-16	også	også	D-:----:--:u---	O	
1-17	ting	ting	NC:piu#:--:----	O	
1-18	på	på	T-:----:--:----	O	
1-19	plads	_	NC:siuc:--:----	B-plads-2-2a	
1-20	:	:	ZP	O	
1-21	D	D	PP:s-un:--:-3n-	O	
1-22	Det	det	PP:s-un:--:-3n-	O	
1-23	var	være	VF:----:ta:----	O	
1-24	bare	bare	D-:----:--:u---	O	
1-25	en	en	PI:s-uc:--:----	O	
1-26	overdrivelses	overdrivelse	NW:----:--:----	O	
1-27	-	-	ZH	O	
1-28	joke	joke	NC:siuc:--:----	O	
1-29	(	(	ZD	O	
1-30	en	en	PI:s-uc:--:----	O	
1-31	af	af	T-:----:--:----	O	
1-32	dem	de	PP:p-u#:--:-3n-	O	
1-33	som	som	US:----:--:----	O	
1-34	ik	ik	XY:----:--:----	O	
1-35	'	'	ZA	O	
1-36	er	være	VF:----:sa:----	O	
1-37	sjove	sjove	VI:----:-a:----	O	
1-38	)	)	ZD	O	
1-39	;	;	ZP	O	
1-40	)	)	ZD	O	

#id=2
#text= Men jeg ville gerne have datalogi... men der var ikke plads i mit skema.
2-1	Men	_	_	O	
2-2	jeg	_	_	O	
2-3	ville	_	_	O	
2-4	gerne	_	_	O	
2-5	have	_	_	O	
2-6	datalogi	_	_	O	
2-7	.	.	ZP	O	
2-8	.	.	ZP	O	
2-9	.	_	_	O	
2-10	men	_	_	O	
2-11	der	_	_	O	
2-12	var	_	_	O	
2-13	ikke	_	_	O	
2-14	plads	_	_	O	
2-15	i	_	_	O	
2-16	mit	_	_	O	
2-17	skema	_	_	O	
2-18	.	_	_	O	

#id=3
#text= Virkelig sådan noget med ekstra borde og stole, hvor der nu kunne laves lidt plads, og man skulle gå til bords i den helt rigtige rækkefølge. :)
3-1	Virkelig	_	_	O	
3-2	sådan	_	_	O	
3-3	noget	_	_	O	
3-4	med	_	_	O	
3-5	ekstra	_	_	O	
3-6	borde	_	_	O	
3-7	og	_	_	O	
3-8	stole	_	_	O	
3-9	,	_	_	O	
3-10	hvor	_	_	O	
3-11	der	_	_	O	
3-12	nu	_	_	O	
3-13	kunne	_	_	O	
3-14	laves	_	_	O	
3-15	lidt	_	_	O	
3-16	plads	_	_	O	
3-17	,	_	_	O	
3-18	og	_	_	O	
3-19	man	_	_	O	
3-20	skulle	_	_	O	
3-21	gå	_	_	O	
3-22	til	_	_	O	
3-23	bords	_	_	O	
3-24	i	_	_	O	
3-25	den	_	_	O	
3-26	helt	_	_	O	
3-27	rigtige	_	_	O	
3-28	rækkefølge	_	_	O	
3-29	.	_	ZP	O	
3-30	:	_	_	O	
3-31	)	_	_	O	

#id=4
#text=Haha, hvor stener! :D Har lige fået mig registreret på high-score :shock: lool Stræber efter første pladsen..
4-1	Haha	_	_	O	
4-2	,	_	_	O	
4-3	hvor	_	_	O	
4-4	stener	_	_	O	
4-5	!	_	_	O	
4-6	:	_	_	O	
4-7	D	_	_	O	
4-8	Har	_	_	O	
4-9	lige	_	_	O	
4-10	fået	_	_	O	
4-11	mig	_	_	O	
4-12	registreret	_	_	O	
4-13	på	_	_	O	
4-14	high	_	_	O	
4-15	-	_	_	O	
4-16	score	_	_	O	
4-17	:	_	_	O	
4-18	shock	_	_	O	
4-19	:	_	_	O	
4-20	lool	_	_	O	
4-21	Stræber	_	_	O	
4-22	efter	_	_	O	
4-23	første	_	_	O	
4-24	pladsen	_	_	O	
4-25	.	_	_	O	
4-26	.	_	_	O	

#id=5
#text= Der var ikke plads til flere til sidst og de sad SÅ tæt :shock:
5-1	Der	_	_	O	
5-2	var	_	_	O	
5-3	ikke	_	_	O	
5-4	plads	_	_	O	
5-5	til	_	_	O	
5-6	flere	_	_	O	
5-7	til	_	_	O	
5-8	sidst	_	_	O	
5-9	og	_	_	O	
5-10	de	_	_	O	
5-11	sad	_	_	O	
5-12	SÅ	_	_	O	
5-13	tæt	_	_	O	
5-14	:	_	_	O	
5-15	shock	_	_	O	
5-16	:	_	_	O	

#id=6
#text= Indtil Dicaprio overtog pladsen...
6-1	Indtil	_	_	O	
6-2	Dicaprio	_	_	O	
6-3	overtog	_	_	O	
6-4	pladsen	_	_	O	
6-5	.	_	_	O	
6-6	.	_	_	O	
6-7	.	_	_	O	

#id=7
#text= Som lytter er det vigtigste for mig dog, at der skal være plads til det hele.
7-1	Som	_	_	O	
7-2	lytter	_	_	O	
7-3	er	_	_	O	
7-4	det	_	_	O	
7-5	vigtigste	_	_	O	
7-6	for	_	_	O	
7-7	mig	_	_	O	
7-8	dog	_	_	O	
7-9	,	_	_	O	
7-10	at	_	_	O	
7-11	der	_	_	O	
7-12	skal	_	_	O	
7-13	være	_	_	O	
7-14	plads	_	_	O	
7-15	til	_	_	O	
7-16	det	_	_	O	
7-17	hele	_	_	O	
7-18	.	_	_	O	

#id=8
#text= Men det, man normalt forstår ved et samfund, er vel noget, hvor der skal være plads til alle - altså sådan rigtigt alle.
8-1	Men	_	_	O	
8-2	det	_	_	O	
8-3	,	_	_	O	
8-4	man	_	_	O	
8-5	normalt	_	_	O	
8-6	forstår	_	_	O	
8-7	ved	_	_	O	
8-8	et	_	_	O	
8-9	samfund	_	_	O	
8-10	,	_	_	O	
8-11	er	_	_	O	
8-12	vel	_	_	O	
8-13	noget	_	_	O	
8-14	,	_	_	O	
8-15	hvor	_	_	O	
8-16	der	_	_	O	
8-17	skal	_	_	O	
8-18	være	_	_	O	
8-19	plads	_	_	O	
8-20	til	_	_	O	
8-21	alle	_	_	O	
8-22	-	_	_	O	
8-23	altså	_	_	O	
8-24	sådan	_	_	O	
8-25	rigtigt	_	_	O	
8-26	alle	_	_	O	
8-27	.	_	_	O	

#id=9
#text= Men det skal der også være plads til :)
9-1	Men	_	_	O	
9-2	det	_	_	O	
9-3	skal	_	_	O	
9-4	der	_	_	O	
9-5	også	_	_	O	
9-6	være	_	_	O	
9-7	plads	_	_	O	
9-8	til	_	_	O	
9-9	:	_	_	O	
9-10	)	_	_	O	

