 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Kan godt følge "doktoren" i hans tanke, hvis hun er lykkelig, som hun er, hvorfor så lade hende komme ud af det, og tilbage til den triste hverdag - alt hvad der gør dagen "levebar" er vel acceptabelt, sålænge det ikke skader nogle - vil dog mene, at hun ikke burde være i selskab med sine børn, da de nok ikke ville kunne forstå noget af det.. men placeret på et hjem for psykisk udfordrede personer, hvor børnene så kan besøge hende, ingen alarm fra min side.. :-))
1-1	Kan	kunne	VF:----:sa:----	
1-2	godt	god	AD:----:--:p---	
1-3	følge	følge	VI:----:-a:----	
1-4	"	"	ZI	
1-5	doktoren	doktor	NC:sduc:--:----	
1-6	"	"	ZI	
1-7	i	i	T-:----:--:----	
1-8	hans	hans	PO:#--#:--:-3ns	
1-9	tanke	tanke	NC:siuc:--:----	
1-10	,	,	ZD	
1-11	hvis	hvis	CS:----:--:----	
1-12	hun	hun	PP:s-nc:--:-3n-	
1-13	er	være	VF:----:sa:----	
1-14	lykkelig	lykkelig	AC:siuc:--:p---	
1-15	,	,	ZD	
1-16	som	som	US:----:--:----	
1-17	hun	hun	PP:s-nc:--:-3n-	
1-18	er	være	VF:----:sa:----	
1-19	,	,	ZD	
1-20	hvorfor	hvorfor	D-:----:--:u---	
1-21	så	så	D-:----:--:u---	
1-22	lade	lade	VI:----:-a:----	
1-23	hende	hun	PP:s-uc:--:-3n-	
1-24	komme	komme	VI:----:-a:----	
1-25	ud	ud	D-:----:--:u---	
1-26	af	af	T-:----:--:----	
1-27	det	det	PP:s-un:--:-3n-	
1-28	,	,	ZD	
1-29	og	og	CC:----:--:----	
1-30	tilbage	tilbage	D-:----:--:u---	
1-31	til	til	T-:----:--:----	
1-32	den	den	PM:s-uc:--:----	
1-33	triste	trist	AC:sdu#:--:p---	
1-34	hverdag	hverdag	NC:siuc:--:----	
1-35	-	-	NC:piu#:--:----	
1-36	alt	al	PI:s-un:--:----	
1-37	hvad	hvad	PR:s-u#:--:----	
1-38	der	der	US:----:--:----	
1-39	gør	gø	VF:----:sa:----	
1-40	dagen	dag	NC:sduc:--:----	
1-41	"	"	ZI	
1-42	levebar	levebar	XF:----:--:----	
1-43	"	"	ZI	
1-44	er	være	VF:----:sa:----	
