 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Menhan slap uden større skader.
1-1	Men	men	CC:----:--:----	O	
1-2	han	_	_	O	
1-3	slap	_	_	O	
1-4	uden	_	_	O	
1-5	større	_	_	O	
1-6	skader	_	_	O	
1-7	.	_	_	O	

#id=2
#text=Enlangvarig skade i knæet satte for lidt over et år siden en stopper for den rutinerede fodboldspillers fodboldliv.
2-1	En	_	_	O	
2-2	langvarig	_	_	O	
2-3	skade	_	_	O	
2-4	i	_	_	O	
2-5	knæet	_	_	O	
2-6	satte	_	_	O	
2-7	for	_	_	O	
2-8	lidt	_	_	O	
2-9	over	_	_	O	
2-10	et	_	_	O	
2-11	år	_	_	O	
2-12	siden	_	_	O	
2-13	en	_	_	O	
2-14	stopper	_	_	O	
2-15	for	_	_	O	
2-16	den	_	_	O	
2-17	rutinerede	_	_	O	
2-18	fodboldspillers	_	_	O	
2-19	fodboldliv	_	_	O	
2-20	.	_	_	O	

#id=3
#text=Hendesholdning til sin kidnapper bekymrer psykologer, der er bange for, at Natascha Kampusch har taget skade og er blevet sær.
3-1	Hendes	_	_	O	
3-2	holdning	_	_	O	
3-3	til	_	_	O	
3-4	sin	_	_	O	
3-5	kidnapper	_	_	O	
3-6	bekymrer	_	_	O	
3-7	psykologer	_	_	O	
3-8	,	_	_	O	
3-9	der	_	_	O	
3-10	er	_	_	O	
3-11	bange	_	_	O	
3-12	for	_	_	O	
3-13	,	_	_	O	
3-14	at	_	_	O	
3-15	Natascha	_	_	O	
3-16	Kampusch	_	_	O	
3-17	har	_	_	O	
3-18	taget	_	_	O	
3-19	skade	_	_	O	
3-20	og	_	_	O	
3-21	er	_	_	O	
3-22	blevet	_	_	O	
3-23	sær	_	_	O	
3-24	.	_	_	O	

#id=4
#text=Hanhavde dog pådraget sig skaden under en fodboldkamp, forklarede han.
4-1	Han	_	_	O	
4-2	havde	_	_	O	
4-3	dog	_	_	O	
4-4	pådraget	_	_	O	
4-5	sig	_	_	O	
4-6	skaden	_	_	O	
4-7	under	_	_	O	
4-8	en	_	_	O	
4-9	fodboldkamp	_	_	O	
4-10	,	_	_	O	
4-11	forklarede	_	_	O	
4-12	han	_	_	O	
4-13	.	_	_	O	

#id=5
#text=I2002 kom han alvorligt til skade under et racerløb.
5-1	I	_	_	O	
5-2	2002	_	_	O	
5-3	kom	_	_	O	
5-4	han	_	_	O	
5-5	alvorligt	_	_	O	
5-6	til	_	_	O	
5-7	skade	_	_	O	
5-8	under	_	_	O	
5-9	et	_	_	O	
5-10	racerløb	_	_	O	
