 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men når jeg kigger dybt i min statistik, viser det sig igen og igen, at det er madindlæggene, der hitter (også længere nede på listen end top 5).
1-1	Men	men	CC:----:--:----	
1-2	når	når	CS:----:--:----	
1-3	jeg	jeg	PP:s-nc:--:-1n-	
1-4	kigger	kigge	VF:----:sa:----	
1-5	dybt	dyb	AD:----:--:p---	
1-6	i	i	T-:----:--:----	
1-7	min	min	PO:s--c:--:-1ns	
1-8	statistik	statistik	NC:siuc:--:----	
1-9	,	,	ZD	
1-10	viser	vise	VF:----:sa:----	
1-11	det	det	PP:s-un:--:-3n-	
1-12	sig	sig	PP:#-u#:--:-3y-	
1-13	igen	igen	D-:----:--:u---	
1-14	og	og	CC:----:--:----	
1-15	igen	igen	D-:----:--:u---	
1-16	,	,	ZD	
1-17	at	at	CS:----:--:----	
1-18	det	det	PP:s-un:--:-3n-	
1-19	er	være	VF:----:sa:----	
1-20	madindlæggene	madindlæg	NC:pdu#:--:----	
1-21	,	,	ZD	
1-22	der	der	US:----:--:----	
1-23	hitter	hitte	VF:----:sa:----	
1-24	(	(	ZD	
1-25	også	også	D-:----:--:u---	
1-26	længere	længere	D-:----:--:c---	
1-27	nede	nede	D-:----:--:u---	
1-28	på	på	T-:----:--:----	
1-29	listen	list	NC:sduc:--:----	
1-30	end	end	CS:----:--:----	
1-31	top	top|top-3|top-2a-2b|top-2|top-1a-1b|top-1|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4	NC:siuc:--:----	
1-32	5	5	LC:--u-:--:----	
1-33	)	)	ZD	
1-34	.	.	ZP	

#id=2
#text=Og de sammenbragte familier bliver altid synlige i toppen af min statistik, når der er ferie eller højtider i farvandet (ikke overraskende).
2-1	Og	og	CC:----:--:----	
2-2	de	den	PM:p-u#:--:----	
2-3	sammenbragte	sammenbragt	AC:p#u#:--:p---	
2-4	familier	familie	NC:piu#:--:----	
2-5	bliver	blive	VF:----:sa:----	
2-6	altid	altid	D-:----:--:u---	
2-7	synlige	synlig	AC:p#u#:--:p---	
2-8	i	i	:--:----	
