 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
1-2	fleste	_	_	
1-3	uafhængige	_	_	
1-4	økonomer	_	_	
1-5	og	_	_	
1-6	de	_	_	
1-7	økonomiske	_	_	
1-8	vismænd	_	_	
1-9	,	_	_	
1-10	har	_	_	
1-11	påpeget	_	_	
1-12	,	_	_	
1-13	at	_	_	
1-14	en	_	_	
1-15	af	_	_	
1-16	de	_	_	
1-17	måder	_	_	
1-18	,	_	_	
1-19	som	_	_	
1-20	vil	_	_	
1-21	være	_	_	
1-22	ansvarlig	_	_	
1-23	en	_	_	
1-24	tid	_	_	
1-25	,	_	_	
1-26	hvor	_	_	
1-27	ledigheden	_	_	
1-28	stiger	_	_	
1-29	så	_	_	
1-30	meget	_	_	
1-31	,	_	_	
1-32	vil	_	_	
1-33	være	_	_	
1-34	at	_	_	
1-35	komme	_	_	
1-36	med	_	_	
1-37	en	_	_	
1-38	indsats	_	_	
1-39	,	_	_	
1-40	som	_	_	
1-41	tager	_	_	
1-42	toppen	_	_	
1-43	af	_	_	
1-44	ledigheden	_	_	
1-45	.	_	_	

#id=2
#text= Det giver beskæftigelse, det tager toppen af ledigheden, og investeringerne medfører også, at vi kan få foretaget de nødvendige renoveringer, ikke mindst energirenoveringer, rundtomkring i den offentlige bygningsmasse og i de private boliger, og desuden har energirenoveringer en særdeles positiv effekt på klimaet.
2-1	Det	_	_	
2-2	giver	_	_	
2-3	beskæftigelse	_	_	
2-4	,	_	_	
2-5	det	_	_	
2-6	tager	_	_	
2-7	toppen	_	_	
2-8	af	_	_	
2-9	ledigheden	_	_	
2-10	,	_	_	
2-11	og	_	_	
2-12	investeringerne	_	_	
2-13	medfører	_	_	
2-14	også	_	_	
2-15	,	_	_	
2-16	at	_	_	
2-17	vi	_	_	
2-18	kan	_	_	
2-19	få	_	_	
2-20	foretaget	_	_	
2-21	de	_	_	
2-22	nødvendige	_	_	
2-23	renoveringer	_	_	
2-24	,	_	_	
2-25	ikke	_	_	
2-26	mindst	_	_	
2-27	energirenoveringer	_	_	
2-28	,	_	_	
2-29	rundtomkring	_	_	
2-30	i	_	_	
2-31	den	_	_	
2-32	offentlige	_	_	
2-33	bygningsmasse	_	_	
2-34	og	_	_	
2-35	i	_	_	
2-36	de	_	_	
2-37	private	_	_	
2-38	boliger	_	_	
2-39	,	_	_	
2-40	og	_	_	
2-41	desuden	_	_	
2-42	har	_	_	
2-43	energirenoveringer	_	_	
2-44	en	_	_	
2-45	særdeles	_	_	
2-46	positiv	_	_	
2-47	effekt	_	_	
2-48	på	_	_	
2-49	klimaet	_	_	
2-50	.	_	_	

#id=3
#text=Men ud over de investeringer, vi kan foretage her og nu for at tage toppen af ledigheden og udvise ansvarlig krisestyring, er det også vigtigt, at vi investerer i fremtiden.
3-1	Men	_	_	
3-2	ud	_	_	
3-3	over	_	_	
3-4	de	_	_	
3-5	investeringer	_	_	
3-6	,	_	_	
3-7	vi	_	_	
3-8	kan	_	_	
3-9	foretage	_	_	
3-10	her	_	_	
3-11	og	_	_	
3-12	nu	_	_	
3-13	for	_	_	
3-14	at	_	_	
3-15	tage	_	_	
3-16	toppen	_	_	
3-17	af	_	_	
3-18	ledigheden	_	_	
3-19	og	_	_	
3-20	udvise	_	_	
3-21	ansvarlig	_	_	
3-22	krisestyring	_	_	
3-23	,	_	_	
3-24	er	_	_	
3-25	det	_	_	
3-26	også	_	_	
3-27	vigtigt	_	_	
3-28	,	_	_	
3-29	at	_	_	
3-30	vi	_	_	
3-31	investerer	_	_	
3-32	i	_	_	
3-33	fremtiden	_	_	
3-34	.	_	_	

#id=4
