 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Der har været perioder, hvor jeg troede, det var slut, men vi er hele tiden kommet igen, og lige nu føler jeg, at vi er på toppen.
1-1	Der	der	US:----:--:----	
1-2	har	have	VF:----:sa:----	
1-3	været	være	VT:siu#:t-:----	
1-4	perioder	periode	NC:piu#:--:----	
1-5	,	,	ZD	
1-6	hvor	hvor	D-:----:--:u---	
1-7	jeg	jeg	PP:s-nc:--:-1n-	
1-8	troede	tro	VF:----:ta:----	
1-9	,	,	ZD	
1-10	det	det	PP:s-un:--:-3n-	
1-11	var	være	VF:----:ta:----	
1-12	slut	slut	NC:§§u§:--:----	
1-13	,	,	ZD	
1-14	men	men	CC:----:--:----	
1-15	vi	vi	PP:p-nc:--:-1n-	
1-16	er	være	VF:----:sa:----	
1-17	hele	hel	AC:sdu#:--:p---	
1-18	tiden	tid	NC:sduc:--:----	
1-19	kommet	komme	VT:siu#:t-:----	
1-20	igen	igen	D-:----:--:u---	
1-21	,	,	ZD	
1-22	og	og	CC:----:--:----	
1-23	lige	lige	D-:----:--:u---	
1-24	nu	nu	D-:----:--:u---	
1-25	føler	føle	VF:----:sa:----	
1-26	jeg	jeg	PP:s-nc:--:-1n-	
1-27	,	,	ZD	
1-28	at	at	CS:----:--:----	
1-29	vi	vi	PP:p-nc:--:-1n-	
1-30	er	være	VF:----:sa:----	
1-31	på	på	T-:----:--:----	
1-32	toppen	_	NC:sduc:--:----	
1-33	.	.	ZP	

#id=2
#text= En mand bliver også næsten dagligt - dog ikke i hårdt vejr - sendt op i toppen af den 32 meter høje kulfibermast for at tjekke, om blokke og tovværk er i orden.
2-1	En	_	_	
2-2	mand	_	_	
2-3	bliver	_	_	
2-4	også	_	_	
2-5	næsten	_	_	
2-6	dagligt	_	_	
2-7	-	_	_	
2-8	dog	_	_	
2-9	ikke	_	_	
2-10	i	_	_	
2-11	hårdt	_	_	
2-12	vejr	_	_	
2-13	-	_	_	
2-14	sendt	_	_	
2-15	op	_	_	
2-16	i	_	_	
2-17	toppen	_	_	
2-18	af	_	_	
2-19	den	_	_	
2-20	32	_	_	
2-21	meter	_	_	
2-22	høje	_	_	
2-23	kulfibermast	_	_	
2-24	for	_	_	
2-25	at	_	_	
2-26	tjekke	_	_	
2-27	,	_	_	
2-28	om	_	_	
2-29	blokke	_	_	
2-30	og	_	_	
2-31	tovværk	_	_	
2-32	er	_	_	
2-33	i	_	_	
2-34	orden	_	_	
2-35	.	_	_	

#id=3
#text=Tal fra en norsk rapport viser, at Danmark halter bag efter de andre nordiske lande, når det gælder ligestilling i erhvervslivets top.
3-1	Tal	_	_	
3-2	fra	_	_	
3-3	en	_	_	
3-4	norsk	_	_	
3-5	rapport	_	_	
3-6	viser	_	_	
3-7	,	_	_	
3-8	at	_	_	
3-9	Danmark	_	_	
3-10	halter	_	_	
3-11	bag	_	_	
3-12	efter	_	_	
3-13	de	_	_	
3-14	andre	_	_	
3-15	nordiske	_	_	
3-16	lande	_	_	
3-17	,	_	_	
3-18	når	_	_	
3-19	det	_	_	
3-20	gælder	_	_	
3-21	ligestilling	_	_	
3-22	i	_	_	
3-23	erhvervslivets	_	_	
3-24	top	_	_	
3-25	.	_	_	

#id=4
#text="Jeg går efter top-tre.
4-1	"	_	_	
4-2	Jeg	_	_	
4-3	går	_	_	
4-4	efter	_	_	
4-5	top	_	_	
4-6	-	_	_	
4-7	tre	_	_	
4-8	.	_	_	

#id=5
#text=Vi ligger så tæt i toppen, at alt kan ske.
5-1	Vi	_	_	
5-2	ligger	_	_	
5-3	så	_	_	
5-4	tæt	_	_	
5-5	i	_	_	
5-6	toppen	_	_	
5-7	,	_	_	
5-8	at	_	_	
5-9	alt	_	_	
5-10	kan	_	_	
5-11	ske	_	_	
5-12	.	_	_	

#id=6
#text= Jeg har gode chancer for top-10, men hvis vi holder niveauet, kan vi gå hele vejen", siger Thomas Velin.
6-1	Jeg	_	_	
6-2	har	_	_	
6-3	gode	_	_	
6-4	chancer	_	_	
6-5	for	_	_	
6-6	top	_	_	
6-7	-	_	_	
6-8	10	_	_	
6-9	,	_	_	
6-10	men	_	_	
6-11	hvis	_	_	
6-12	vi	_	_	
6-13	holder	_	_	
6-14	niveauet	_	_	
6-15	,	_	_	
6-16	kan	_	_	
6-17	vi	_	_	
6-18	gå	_	_	
6-19	hele	_	_	
6-20	vejen	_	_	
6-21	"	_	_	
6-22	,	_	_	
6-23	siger	_	_	
6-24	Thomas	_	_	
6-25	Velin	_	_	
6-26	.	_	_	

#id=7
#text=Stilling i toppen efter 3.
7-1	Stilling	_	_	
7-2	i	_	_	
7-3	toppen	_	_	
7-4	efter	_	_	
7-5	3	_	_	
7-6	.	_	_	

#id=8
#text= Både Obama's bog om sine politiske visioner og hans selvbiografiske beretning om sin søgen efter sin far og sin egen identitet er raset til top på bestsellerlisten, og unge israelere med næsen begravet i hans bøger er et uhyre hyppigt syn på de smarte cafeer i Tel Aviv.
8-1	Både	_	_	
8-2	Obama	_	_	
8-3	'	_	_	
8-4	s	_	_	
8-5	bog	_	_	
8-6	om	_	_	
8-7	sine	_	_	
8-8	politiske	_	_	
8-9	visioner	_	_	
8-10	og	_	_	
8-11	hans	_	_	
8-12	selvbiografiske	_	_	
8-13	beretning	_	_	
8-14	om	_	_	
8-15	sin	_	_	
8-16	søgen	_	_	
8-17	efter	_	_	
8-18	sin	_	_	
8-19	far	_	_	
8-20	og	_	_	
8-21	sin	_	_	
8-22	egen	_	_	
8-23	identitet	_	_	
8-24	er	_	_	
8-25	raset	_	_	
8-26	til	_	_	
8-27	top	_	_	
8-28	på	_	_	
8-29	bestsellerlisten	_	_	
8-30	,	_	_	
8-31	og	_	_	
8-32	unge	_	_	
8-33	israelere	_	_	
8-34	med	_	_	
8-35	næsen	_	_	
8-36	begravet	_	_	
8-37	i	_	_	
8-38	hans	_	_	
8-39	bøger	_	_	
8-40	er	_	_	
8-41	et	_	_	
8-42	uhyre	_	_	
8-43	hyppigt	_	_	
8-44	syn	_	_	
8-45	på	_	_	
8-46	de	_	_	
8-47	smarte	_	_	
8-48	cafeer	_	_	
8-49	i	_	_	
8-50	Tel	_	_	
8-51	Aviv	_	_	
8-52	.	_	_	

#id=9
#text=Med undtagelse af parodien over ' Sommerfugledalen', som er helt i top.
9-1	Med	_	_	
9-2	undtagelse	_	_	
9-3	af	_	_	
9-4	parodien	_	_	
9-5	over	_	_	
9-6	'	_	_	
9-7	Sommerfugledalen	_	_	
9-8	'	_	_	
9-9	,	_	_	
9-10	som	_	_	
9-11	er	_	_	
9-12	helt	_	_	
9-13	i	_	_	
9-14	top	_	_	
9-15	.	_	_	

#id=10
#text= Besøgende skal måske nok klatre ad en rebstige for at komme til toppen, men er så også garanteret et ophold med fantastisk udsigt over Vasaparken og Mälaren, Sveriges tredjestørste sø.
10-1	Besøgende	_	_	
10-2	skal	_	_	
10-3	måske	_	_	
10-4	nok	_	_	
10-5	klatre	_	_	
10-6	ad	_	_	
10-7	en	_	_	
10-8	rebstige	_	_	
10-9	for	_	_	
10-10	at	_	_	
10-11	komme	_	_	
10-12	til	_	_	
